"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"
3.968128070E-1	1.968608737E0	-4.732437134E0	-1.554753423E0
3.990057560E-1	2.029328823E0	-4.936968327E0	-1.543035507E0
4.003851150E-1	2.082059383E0	-5.148423195E0	-1.532915592E0
4.030616020E-1	2.132126808E0	-5.365204334E0	-1.524393439E0
4.048142310E-1	2.181661606E0	-5.584116459E0	-1.511077642E0
4.070209230E-1	2.229598522E0	-5.774798393E0	-1.497761846E0
4.083240380E-1	2.278068066E0	-5.946838856E0	-1.483913422E0
4.111487170E-1	2.318548203E0	-6.103965282E0	-1.471130252E0
4.126956540E-1	2.362223864E0	-6.236590862E0	-1.462608099E0
4.152435250E-1	2.404301882E0	-6.331399441E0	-1.451955438E0
4.166312310E-1	2.445314646E0	-6.373477459E0	-1.449824929E0
4.192991020E-1	2.483664036E0	-6.346313000E0	-1.450357556E0
4.210376540E-1	2.525209427E0	-6.192382336E0	-1.455683827E0
4.233477940E-1	2.528405190E0	-6.119411469E0	-1.459944963E0
4.247685000E-1	2.522013664E0	-5.958556652E0	-1.466336489E0
4.274038710E-1	2.494316816E0	-5.791842937E0	-1.471130252E0
4.290675380E-1	2.418150425E0	-5.567604542E0	-1.454618573E0
4.314361790E-1	2.387257576E0	-5.500493050E0	-1.443965912E0
4.331559610E-1	2.318015575E0	-5.372661114E0	-1.416801691E0
4.354919860E-1	2.247708082E0	-5.246960163E0	-1.384311199E0
4.372667690E-1	2.135855198E0	-5.044559956E0	-1.335309029E0
4.395565630E-1	2.098571062E0	-4.973719597E0	-1.316666842E0
4.409497690E-1	2.023469925E0	-4.818191051E0	-1.286306858E0
4.436129090E-1	1.913214922E0	-4.572647572E0	-1.248489976E0
4.452964610E-1	1.838113785E0	-4.400607586E0	-1.228249907E0
4.475263840E-1	1.769404292E0	-4.218979836E0	-1.209075212E0
4.489385000E-1	1.705488443E0	-4.040015221E0	-1.189367771E0
4.517157940E-1	1.641572475E0	-3.855192184E0	-1.165399313E0
4.532346920E-1	1.585113525E0	-3.674097061E0	-1.138235092E0
4.557730630E-1	1.533980846E0	-3.498328447E0	-1.104679227E0
4.571049230E-1	1.483913422E0	-3.341734648E0	-1.064731836E0
4.598290250E-1	1.443433285E0	-3.205913305E0	-1.018392801E0
4.616089610E-1	1.407747030E0	-3.095658541E0	-9.656622410E-1
4.638671400E-1	1.375256419E0	-3.014698505E0	-9.108011127E-1
4.651848840E-1	1.349690080E0	-2.960902452E0	-8.527442217E-1
4.679234480E-1	1.327319503E0	-2.934270859E0	-7.930893898E-1
4.703480770E-1	1.309210062E0	-2.956641436E0	-6.998787522E-1
4.719576790E-1	1.306546807E0	-2.976348877E0	-6.684534550E-1
4.739440380E-1	1.299090028E0	-3.041330099E0	-6.093312502E-1
4.760139480E-1	1.301753163E0	-3.141997576E0	-5.432848930E-1
4.777766920E-1	1.308677435E0	-3.269829273E0	-4.830974340E-1
4.800781400E-1	1.323591113E0	-3.423759937E0	-4.207794666E-1
4.818710380E-1	1.351287961E0	-3.594202280E0	-3.595267534E-1
4.841346020E-1	1.387506962E0	-3.780090809E0	-3.051982522E-1
4.858651540E-1	1.432780743E0	-3.973968983E0	-2.561961114E-1
4.880403840E-1	1.486576557E0	-4.172640800E0	-2.098570913E-1
4.894149610E-1	1.545166135E0	-4.371312618E0	-1.715075821E-1
4.922229090E-1	1.609081984E0	-4.557201385E0	-1.342233270E-1
4.937791150E-1	1.676193595E0	-4.735633373E0	-1.038632840E-1
4.962470250E-1	1.743837953E0	-4.901281834E0	-8.096009493E-2
4.975547300E-1	1.815743208E0	-5.052549362E0	-7.030745596E-2
5.003028320E-1	1.889779091E0	-5.188370705E0	-6.657902896E-2
5.021926920E-1	2.006958246E0	-5.359878063E0	-7.456851006E-2
5.043371780E-1	2.045840502E0	-5.409945488E0	-7.616640627E-2
5.057593460E-1	2.126800537E0	-5.494634151E0	-9.267801046E-2
5.083928320E-1	2.213619471E0	-5.566006660E0	-1.161138266E-1
5.102017690E-1	2.340918541E0	-5.623530865E0	-1.581917703E-1
5.124240630E-1	2.384061813E0	-5.628324986E0	-1.752360016E-1
5.137104610E-1	2.463423967E0	-5.611813068E0	-2.093244642E-1
5.164799090E-1	2.543851614E0	-5.573463440E0	-2.466087192E-1
5.182985000E-1	2.663693666E0	-5.496764660E0	-2.998719513E-1
5.205340250E-1	2.706836939E0	-5.469067574E0	-3.190467060E-1
5.221362690E-1	2.794188738E0	-5.414206505E0	-3.515372574E-1
5.245897550E-1	2.883138180E0	-5.355617046E0	-3.850930929E-1
5.262417300E-1	3.007241488E0	-5.249090672E0	-4.458131790E-1
5.286228710E-1	3.077548981E0	-5.160673618E0	-4.894890189E-1
5.299181920E-1	3.138801813E0	-5.065865040E0	-5.432848930E-1
5.326797940E-1	3.183542728E0	-4.943892479E0	-6.034722924E-1
5.341523840E-1	3.214968204E0	-4.810201645E0	-6.775081754E-1
5.367764860E-1	3.236806154E0	-4.698881626E0	-7.542072535E-1
5.381394610E-1	3.250121832E0	-4.592355251E0	-8.372978568E-1
5.408676010E-1	3.250121832E0	-4.483697891E0	-9.262474179E-1
5.426531920E-1	3.234142780E0	-4.375041008E0	-1.017860174E0
5.449184090E-1	3.204848051E0	-4.266916752E0	-1.108940244E0
5.462193460E-1	3.169694424E0	-4.167847157E0	-1.197889924E0
5.489748320E-1	3.127616405E0	-4.077299595E0	-1.280447841E0
5.507743840E-1	3.082342625E0	-3.999535322E0	-1.355016351E0
5.530063320E-1	3.033340454E0	-3.929760695E0	-1.415203810E0
5.543536150E-1	2.988599539E0	-3.873834133E0	-1.455683827E0
5.570624480E-1	2.944923639E0	-3.828560352E0	-1.480717540E0
5.589940000E-1	2.907106638E0	-3.793939352E0	-1.490837574E0
5.611260630E-1	2.870355129E0	-3.766242504E0	-1.482315540E0
5.624751540E-1	2.836266518E0	-3.735349894E0	-1.460477591E0
5.651821400E-1	2.805373907E0	-3.708185673E0	-1.425323844E0
5.669948070E-1	2.775013924E0	-3.675162315E0	-1.381115317E0
5.690560000E-1	2.747849703E0	-3.642671824E0	-1.327319503E0
5.704866150E-1	2.724946499E0	-3.605387449E0	-1.265534163E0
5.732861400E-1	2.697782278E0	-3.565440178E0	-1.197357297E0
5.748400000E-1	2.672215939E0	-3.516970634E0	-1.129712939E0
5.773394860E-1	2.646116972E0	-3.467435837E0	-1.063666582E0
5.786441920E-1	2.614691496E0	-3.411509514E0	-9.965549111E-1
5.813948710E-1	2.584331512E0	-3.354517698E0	-9.374327064E-1
5.831298070E-1	2.530003071E0	-3.260774612E0	-8.623315692E-1
5.854294090E-1	2.511893511E0	-3.227218628E0	-8.431568146E-1
5.870319230E-1	2.477805138E0	-3.160639524E0	-8.053399324E-1
5.894854470E-1	2.438922882E0	-3.096191168E0	-7.776430249E-1
5.917504230E-1	2.379268169E0	-3.002980471E0	-7.419567108E-1
5.935183700E-1	2.359560728E0	-2.971555233E0	-7.302387953E-1
5.948290770E-1	2.320678711E0	-2.915096283E0	-7.137271762E-1
5.975753320E-1	2.277002811E0	-2.861832857E0	-6.982808709E-1
5.995207300E-1	2.216815233E0	-2.794721365E0	-6.764429212E-1
6.016498700E-1	2.176335335E0	-2.760632753E0	-6.609966159E-1
6.030975380E-1	2.133192062E0	-2.735599041E0	-6.487460732E-1
6.057061400E-1	2.088450909E0	-2.721750736E0	-6.301039457E-1
6.073425380E-1	2.041579247E0	-2.719620228E0	-6.146575809E-1
6.095562300E-1	1.992577195E0	-2.720685482E0	-5.986786485E-1
6.110151920E-1	1.948368669E0	-2.729740143E0	-5.842975378E-1
6.137951780E-1	1.900964379E0	-2.746251822E0	-5.704491138E-1
6.151449230E-1	1.858353853E0	-2.779274940E0	-5.571333170E-1
6.178913700E-1	1.810416937E0	-2.815494061E0	-5.427522659E-1
6.192199230E-1	1.766208410E0	-2.860767603E0	-5.267732739E-1
6.219826780E-1	1.720402122E0	-2.909237146E0	-5.123922229E-1
6.237089610E-1	1.675660968E0	-2.962500334E0	-4.958806038E-1
6.260162550E-1	1.631985188E0	-3.012567997E0	-4.745753109E-1
6.272776530E-1	1.586178780E0	-3.063700676E0	-4.580637217E-1
6.300717160E-1	1.539839745E0	-3.111637592E0	-4.388889670E-1
6.317047300E-1	1.496696591E0	-3.152117491E0	-4.218447208E-1
6.341035240E-1	1.449292302E0	-3.189401865E0	-4.010720551E-1
