"Time (s)"	"Magnetic field x (µT)"	"Magnetic field y (µT)"	"Magnetic field z (µT)"
1.304289445E0	-1.973999977E1	-3.527999878E1	-1.763999939E1
1.312425829E0	-1.955999947E1	-3.570000076E1	-1.776000023E1
1.320518868E0	-1.902000046E1	-3.629999924E1	-1.781999969E1
1.328623675E0	-1.823999977E1	-3.636000061E1	-1.752000046E1
1.336756521E0	-1.721999931E1	-3.713999939E1	-1.697999954E1
1.344847829E0	-1.589999962E1	-3.773999786E1	-1.692000008E1
1.353035637E0	-1.500000000E1	-3.797999954E1	-1.697999954E1
1.361127098E0	-1.403999996E1	-3.821999741E1	-1.721999931E1
1.369215983E0	-1.355999947E1	-3.845999908E1	-1.727999878E1
1.377326291E0	-1.301999950E1	-3.827999878E1	-1.727999878E1
1.385414944E0	-1.253999996E1	-3.804000092E1	-1.739999962E1
1.393523675E0	-1.175999928E1	-3.881999969E1	-1.776000023E1
1.401629714E0	-1.080000019E1	-3.852000046E1	-1.781999969E1
1.409718675E0	-1.013999939E1	-3.875999832E1	-1.787999916E1
1.417840175E0	-8.939999580E0	-3.881999969E1	-1.800000000E1
1.425944367E0	-8.099999428E0	-3.857999802E1	-1.752000046E1
1.434154021E0	-6.839999676E0	-3.887999725E1	-1.703999901E1
1.442245213E0	-5.460000038E0	-3.941999817E1	-1.739999962E1
1.450348060E0	-4.319999695E0	-4.007999802E1	-1.721999931E1
1.458468021E0	-3.000000000E0	-4.013999939E1	-1.721999931E1
1.466557906E0	-1.439999938E0	-4.013999939E1	-1.800000000E1
1.474637290E0	-2.399999946E-1	-3.984000015E1	-1.811999893E1
1.482732482E0	1.079999924E0	-3.965999985E1	-1.842000008E1
1.490823867E0	2.700000048E0	-3.936000061E1	-1.950000000E1
1.498936059E0	4.019999981E0	-3.893999863E1	-1.997999954E1
1.507026213E0	5.879999638E0	-3.834000015E1	-2.027999878E1
1.515235136E0	7.139999866E0	-3.768000031E1	-2.100000000E1
1.523341867E0	8.279999733E0	-3.702000046E1	-2.093999863E1
1.531433905E0	9.179999352E0	-3.636000061E1	-2.142000008E1
1.539554905E0	9.719999313E0	-3.570000076E1	-2.147999954E1
1.547658713E0	1.031999969E1	-3.509999847E1	-2.189999962E1
1.555817944E0	1.067999935E1	-3.468000031E1	-2.255999947E1
1.563908405E0	1.067999935E1	-3.438000107E1	-2.273999977E1
1.572009905E0	1.073999977E1	-3.420000076E1	-2.376000023E1
1.580140790E0	1.097999954E1	-3.402000046E1	-2.363999939E1
1.588230597E0	1.121999931E1	-3.413999939E1	-2.351999855E1
1.596418905E0	1.146000004E1	-3.455999756E1	-2.357999992E1
1.604509097E0	1.193999958E1	-3.486000061E1	-2.255999947E1
1.612599520E0	1.188000011E1	-3.521999741E1	-2.171999931E1
1.620711367E0	1.223999977E1	-3.534000015E1	-2.111999893E1
1.628800828E0	1.271999931E1	-3.539999771E1	-2.093999863E1
1.636956790E0	1.265999985E1	-3.521999741E1	-2.045999908E1
1.645063828E0	1.313999939E1	-3.509999847E1	-2.045999908E1
1.653154674E0	1.331999969E1	-3.509999847E1	-2.027999878E1
1.661276136E0	1.338000011E1	-3.509999847E1	-1.973999977E1
1.669380636E0	1.325999928E1	-3.539999771E1	-1.985999870E1
1.677590212E0	1.367999935E1	-3.534000015E1	-2.015999985E1
1.685681289E0	1.325999928E1	-3.552000046E1	-2.052000046E1
1.693786212E0	1.307999992E1	-3.521999741E1	-2.057999992E1
1.701906828E0	1.307999992E1	-3.534000015E1	-2.111999893E1
1.709997789E0	1.259999943E1	-3.527999878E1	-2.111999893E1
1.718111943E0	1.296000004E1	-3.479999924E1	-2.135999870E1
1.726205251E0	1.313999939E1	-3.479999924E1	-2.129999924E1
1.734297943E0	1.355999947E1	-3.455999756E1	-2.153999901E1
1.742411866E0	1.373999977E1	-3.486000061E1	-2.195999908E1
1.750502751E0	1.392000008E1	-3.491999817E1	-2.250000000E1
1.758687943E0	1.385999966E1	-3.552000046E1	-2.376000023E1
1.766797597E0	1.385999966E1	-3.563999939E1	-2.435999870E1
1.774889866E0	1.403999996E1	-3.557999802E1	-2.537999916E1
1.783014751E0	1.373999977E1	-3.636000061E1	-2.609999847E1
1.791121827E0	1.373999977E1	-3.636000061E1	-2.681999969E1
1.799249250E0	1.403999996E1	-3.629999924E1	-2.718000031E1
1.807342289E0	1.379999924E1	-3.647999954E1	-2.729999924E1
1.815449443E0	1.421999931E1	-3.575999832E1	-2.700000000E1
1.823582866E0	1.427999973E1	-3.539999771E1	-2.687999916E1
1.831673981E0	1.392000008E1	-3.527999878E1	-2.718000031E1
1.839868981E0	1.397999954E1	-3.509999847E1	-2.753999901E1
1.847960673E0	1.397999954E1	-3.563999939E1	-2.826000023E1
1.856051866E0	1.361999989E1	-3.552000046E1	-2.819999886E1
1.864166404E0	1.385999966E1	-3.497999954E1	-2.807999992E1
1.872259250E0	1.397999954E1	-3.479999924E1	-2.807999992E1
1.880371212E0	1.403999996E1	-3.455999756E1	-2.759999847E1
1.888478904E0	1.415999985E1	-3.479999924E1	-2.759999847E1
1.896570212E0	1.373999977E1	-3.534000015E1	-2.771999931E1
1.904693865E0	1.355999947E1	-3.557999802E1	-2.729999924E1
1.912799712E0	1.307999992E1	-3.557999802E1	-2.735999870E1
1.921010788E0	1.284000015E1	-3.534000015E1	-2.718000031E1
1.929103365E0	1.289999962E1	-3.545999908E1	-2.729999924E1
1.937208442E0	1.247999954E1	-3.588000107E1	-2.777999878E1
1.945330750E0	1.223999977E1	-3.581999969E1	-2.795999908E1
1.953423211E0	1.217999935E1	-3.581999969E1	-2.807999992E1
1.961544865E0	1.193999958E1	-3.557999802E1	-2.855999947E1
1.969638404E0	1.151999950E1	-3.491999817E1	-2.850000000E1
1.977731519E0	1.139999962E1	-3.479999924E1	-2.892000008E1
1.985847173E0	1.103999996E1	-3.491999817E1	-2.927999878E1
1.993939057E0	1.103999996E1	-3.497999954E1	-2.897999954E1
2.002129173E0	1.146000004E1	-3.486000061E1	-2.885999870E1
