"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"
9.491201530E-1	1.973532677E0	-4.333024025E-1	2.866881371E0
9.574251920E-1	2.429697037E0	-2.211680412E-1	2.644644022E0
9.637119080E-1	2.608670712E0	-4.787826538E-2	2.502213955E0
9.654754220E-1	2.673313618E0	-2.393627167E-2	2.468694925E0
9.735008460E-1	2.536067486E0	5.775880814E-2	2.173983335E0
9.814376530E-1	1.804545403E0	-1.615605354E-1	1.599749327E0
9.900019990E-1	1.065309525E0	-4.155364037E-1	1.079852104E0
9.978085380E-1	2.796325684E-1	-6.073393822E-1	1.122240424E0
1.005998038E0	-4.180979729E-1	-6.773843765E-1	1.604383111E0
1.012320138E0	-7.841506004E-1	-5.933070183E-1	1.752503276E0
1.013960038E0	-8.559765816E-1	-6.268258095E-1	1.776445270E0
1.021713499E0	-1.233295441E0	-1.004956722E0	1.486293077E0
1.030232884E0	-4.572367668E-1	-1.234609604E0	1.768671870E0
1.038375307E0	2.498044968E-1	-1.420221329E0	1.784352303E0
1.046595576E0	6.269264221E-1	-1.705465555E0	1.439425945E0
1.054551692E0	6.650619507E-1	-1.977987528E0	7.371711731E-1
1.062512653E0	1.102573395E0	-2.113969803E0	4.421871901E-1
1.070818807E0	1.767876625E0	-1.936775208E0	6.348370314E-1
1.079012999E0	1.885337830E0	-1.578077316E0	7.562519312E-1
1.087028538E0	1.677463531E0	-1.034494162E0	7.206001282E-1
1.095093153E0	1.534786224E0	-6.675763130E-1	5.498180389E-1
1.111397384E0	1.284379959E-1	-4.862499237E-1	5.070798397E-1
1.119479807E0	-7.060604095E-1	-4.129939079E-1	7.105475664E-1
1.127663807E0	-6.916799545E-1	-3.683271408E-1	2.800750732E-1
1.135640961E0	1.322193146E-1	-3.429367542E-1	2.399469614E-1
1.143735461E0	8.857517242E-1	-6.135632992E-1	1.028734803E0
1.151840884E0	1.085911751E0	-9.071896076E-1	1.873307705E0
1.159918538E0	1.184384346E0	-1.175698757E0	1.551485419E0
1.168094499E0	6.450195312E-1	-1.409137607E0	8.204123974E-1
1.176688115E0	4.899978638E-2	-1.439041615E0	5.309338570E-1
1.183902499E0	2.834033966E-2	-1.072830439E0	4.021480083E-1
1.192390192E0	4.011621475E-1	-4.015316963E-1	5.455429554E-1
1.200527307E0	6.853361130E-1	1.043486595E-2	2.681102753E-1
1.208822115E0	8.142395020E-1	1.150956154E-1	-4.834890366E-2
1.216880884E0	9.103107452E-1	3.175806999E-2	-2.078572512E-1
1.224734999E0	9.938106537E-1	-8.116412163E-2	-2.146536112E-1
1.233040691E0	8.956966400E-1	1.773834229E-2	-4.517959356E-1
1.241164191E0	1.288105011E0	-9.995055199E-2	-9.230171442E-1
1.249239961E0	1.705977440E0	-2.924950123E-1	-1.075194597E0
1.257182730E0	2.331491470E0	-6.669151783E-1	-8.011982441E-1
1.265121345E0	2.555784225E0	-1.122435212E0	-7.252879143E-1
1.273515038E0	2.634129524E0	-1.701649070E0	-6.093336344E-1
1.281711538E0	2.695432663E0	-2.114744663E0	-4.125944376E-1
1.289834884E0	2.629408836E0	-1.966143608E0	7.297337055E-2
1.298148499E0	2.692292213E0	-1.679816484E0	-9.395873547E-2
1.305807115E0	2.593407631E0	-1.128427982E0	1.735049486E-1
1.314141422E0	2.572807312E0	-4.737915993E-1	-8.215737343E-2
1.322146884E0	2.623459816E0	2.490448952E-2	-4.926444292E-1
1.330372307E0	2.396651268E0	1.519024849E0	-1.726403356E0
1.338384307E0	2.218631744E0	2.058004856E0	-1.457477808E0
1.346129730E0	1.872340202E0	1.063206196E0	-5.446318388E-1
1.354647499E0	1.743504524E0	-8.492610455E-1	-1.045689821E0
1.362782768E0	2.011184692E0	-1.901149035E0	-9.266679287E-1
1.371198307E0	1.367396355E0	-2.612313509E0	4.434748888E-1
1.378940384E0	1.077727318E0	-3.168774366E0	5.829198360E-1
1.386968230E0	1.263478279E0	-3.619886875E0	-8.511422873E-1
1.395182614E0	1.941515923E0	-4.218400955E0	-1.298970699E0
1.403351230E0	3.210818291E0	-5.253173828E0	1.226040602E0
1.411712499E0	3.507590771E0	-5.834611893E0	7.806525230E-1
1.419658922E0	2.429452419E0	-6.049437523E0	4.149408340E-1
1.427377461E0	9.155282974E-1	-6.148319244E0	3.162598610E-2
1.435801153E0	3.099699020E-1	-5.899668694E0	-3.119859695E-1
1.442245213E0	-2.403573990E-1	-5.962955475E0	-3.454463482E-1
1.443907191E0	-4.163885117E-2	-5.670863152E0	-9.894866943E-1
1.452079461E0	4.461321831E-1	-6.493915081E0	-1.722576618E0
1.460082922E0	-2.064094543E-1	-6.636371613E0	-2.227985620E0
1.468636922E0	-3.129835844E0	-5.666721344E0	-5.245477676E0
1.476284499E0	-1.180768871E1	-2.669505596E0	-1.494901562E1
1.484632230E0	-4.935690880E0	-5.412394524E0	-8.363382339E0
1.492781230E0	-7.338838577E-1	-7.590797901E0	-1.983836174E0
1.500751537E0	-6.688780785E0	-6.572272301E0	3.745367527E-1
1.508376037E0	-1.261646843E1	-3.693685055E0	1.022622347E0
1.516936384E0	-1.749959183E1	-3.089165688E-1	-1.680312157E-1
1.524954614E0	-1.699943542E1	1.305313110E-1	6.327097416E-1
1.533389268E0	-8.548010826E0	-1.012012959E0	2.898209572E0
1.541244653E0	-3.525740623E0	-7.650690079E-1	3.644902945E0
1.549173537E0	-3.049733162E0	8.673715591E-1	3.674026966E0
1.557560807E0	-3.161175013E0	2.851414680E0	5.508409500E0
1.565547960E0	-1.641518831E0	4.483902931E0	6.620990276E0
1.573799807E0	1.322461605E0	5.159111023E0	6.298113823E0
1.580140790E0	2.678307533E0	5.166760445E0	5.319235325E0
1.581782153E0	3.293617249E0	4.939311028E0	4.596187115E0
1.588230597E0	4.192646980E0	6.056093216E0	4.014492035E0
1.589705537E0	4.226165771E0	6.664220810E0	3.468613863E0
1.598089730E0	3.357084751E0	9.486144066E0	9.758698940E-1
1.606366422E0	1.765133619E0	1.071846294E1	-1.196890950E0
1.614637037E0	-5.466461182E-3	1.271589279E1	-3.337619781E0
1.622364114E0	-2.810068130E-1	1.453430843E1	-5.842330933E0
1.630317845E0	-1.430101156E0	1.588744926E1	-7.117119789E0
1.638628537E0	-1.115825415E0	1.509085464E1	-7.446252823E0
1.646820114E0	-1.161252499E0	9.798348427E0	-6.125904083E0
1.654990076E0	-3.468654156E-1	4.706180573E0	-4.344945431E0
1.663021114E0	6.715509892E-1	1.032251358E0	-2.571023464E0
1.670690268E0	8.927731514E-1	-8.437175751E-1	-1.521385670E0
1.677590212E0	8.732683659E-1	-1.997366428E0	-7.446591854E-1
1.679202691E0	8.493263721E-1	-2.445081711E0	-3.376448154E-1
1.687362730E0	8.441717625E-1	-3.164822102E0	5.231850147E-1
