"Time (s)"	"Magnetic field x (µT)"	"Magnetic field y (µT)"	"Magnetic field z (µT)"
1.092872706E0	5.400000095E0	1.242000008E1	-4.463999939E1
1.101015129E0	5.279999733E0	1.242000008E1	-4.452000046E1
1.109238706E0	5.579999924E0	1.259999943E1	-4.445999908E1
1.117333706E0	5.159999847E0	1.253999996E1	-4.452000046E1
1.125474244E0	4.920000076E0	1.253999996E1	-4.452000046E1
1.133583360E0	5.159999847E0	1.307999992E1	-4.470000076E1
1.141674783E0	5.039999962E0	1.307999992E1	-4.518000031E1
1.149910321E0	5.519999981E0	1.361999989E1	-4.481999969E1
1.158003475E0	5.579999924E0	1.409999943E1	-4.463999939E1
1.166129937E0	5.339999676E0	1.421999931E1	-4.415999985E1
1.174230706E0	5.339999676E0	1.475999928E1	-4.337999725E1
1.182358129E0	5.339999676E0	1.517999935E1	-4.313999939E1
1.190581398E0	5.400000095E0	1.589999962E1	-4.320000076E1
1.198692052E0	5.519999981E0	1.619999886E1	-4.320000076E1
1.206818090E0	5.159999847E0	1.673999977E1	-4.320000076E1
1.214930590E0	4.799999714E0	1.692000008E1	-4.337999725E1
1.223071244E0	4.259999752E0	1.727999878E1	-4.331999969E1
1.231293129E0	3.899999857E0	1.829999924E1	-4.320000076E1
1.239389321E0	3.839999914E0	1.853999901E1	-4.284000015E1
1.247530590E0	4.139999866E0	1.902000046E1	-4.254000092E1
1.255644590E0	4.259999752E0	1.902000046E1	-4.181999969E1
1.263772282E0	4.799999714E0	1.842000008E1	-4.236000061E1
1.271880513E0	5.400000095E0	1.865999985E1	-4.236000061E1
1.279975052E0	4.619999886E0	1.926000023E1	-4.193999863E1
1.288102475E0	4.500000000E0	1.992000008E1	-4.175999832E1
1.296205090E0	4.319999695E0	2.057999992E1	-4.134000015E1
1.304331282E0	3.659999847E0	2.123999977E1	-4.104000092E1
1.312553551E0	4.019999981E0	2.135999870E1	-4.091999817E1
1.320663282E0	3.720000029E0	2.153999901E1	-4.079999924E1
1.328790013E0	3.779999971E0	2.147999954E1	-4.037999725E1
1.336910474E0	3.539999962E0	2.177999878E1	-4.031999969E1
1.345052205E0	3.119999886E0	2.153999901E1	-4.050000000E1
1.353277782E0	3.779999971E0	2.231999969E1	-4.086000061E1
1.361373513E0	3.480000019E0	2.273999977E1	-4.109999847E1
1.369516474E0	3.179999828E0	2.250000000E1	-4.055999756E1
1.377634667E0	3.480000019E0	2.297999954E1	-4.007999802E1
1.385762090E0	2.819999933E0	2.255999947E1	-3.923999786E1
1.394000128E0	3.059999943E0	2.292000008E1	-3.887999725E1
1.402094705E0	3.599999905E0	2.369999886E1	-3.881999969E1
1.410221628E0	3.599999905E0	2.429999924E1	-3.839999771E1
1.418330705E0	4.139999866E0	2.471999931E1	-3.827999878E1
1.426457705E0	4.199999809E0	2.477999878E1	-3.773999786E1
1.434680974E0	4.019999981E0	2.471999931E1	-3.731999969E1
1.442791743E0	3.659999847E0	2.453999901E1	-3.707999802E1
1.450919705E0	3.659999847E0	2.501999855E1	-3.695999908E1
1.459028166E0	3.359999895E0	2.543999863E1	-3.689999771E1
1.467168897E0	2.819999933E0	2.597999954E1	-3.654000092E1
1.475392666E0	2.700000048E0	2.645999908E1	-3.629999924E1
1.483487705E0	1.919999957E0	2.634000015E1	-3.539999771E1
1.491630897E0	1.740000010E0	2.669999886E1	-3.515999985E1
1.499745282E0	1.740000010E0	2.634000015E1	-3.504000092E1
1.507841974E0	1.439999938E0	2.639999962E1	-3.509999847E1
1.516081705E0	1.139999986E0	2.687999916E1	-3.534000015E1
1.524176974E0	5.999999642E-1	2.651999855E1	-3.570000076E1
1.532271320E0	0.000000000E0	2.687999916E1	-3.552000046E1
1.540367628E0	-5.399999619E-1	2.681999969E1	-3.527999878E1
1.548495204E0	-9.599999785E-1	2.657999992E1	-3.521999741E1
1.556717935E0	-1.259999990E0	2.693999863E1	-3.527999878E1
1.564826320E0	-1.199999928E0	2.735999870E1	-3.563999939E1
1.572953858E0	-1.620000005E0	2.729999924E1	-3.600000000E1
1.581086627E0	-1.740000010E0	2.700000000E1	-3.605999756E1
1.589228281E0	-1.740000010E0	2.627999878E1	-3.593999863E1
1.597451781E0	-2.099999905E0	2.555999947E1	-3.618000031E1
1.605545512E0	-1.799999952E0	2.537999916E1	-3.593999863E1
1.613686435E0	-1.620000005E0	2.568000031E1	-3.593999863E1
1.621823050E0	-1.679999948E0	2.573999977E1	-3.600000000E1
1.629950243E0	-1.799999952E0	2.568000031E1	-3.588000107E1
1.638188819E0	-2.039999962E0	2.573999977E1	-3.659999847E1
1.646282896E0	-2.639999866E0	2.489999962E1	-3.731999969E1
1.654409473E0	-2.879999876E0	2.460000038E1	-3.773999786E1
1.662498050E0	-2.819999933E0	2.447999954E1	-3.893999863E1
1.670622973E0	-2.939999819E0	2.400000000E1	-3.900000000E1
1.678843742E0	-3.179999828E0	2.376000023E1	-3.965999985E1
1.686951319E0	-3.779999971E0	2.321999931E1	-4.025999832E1
1.695078435E0	-4.619999886E0	2.237999916E1	-4.013999939E1
1.703185050E0	-5.339999676E0	2.207999992E1	-4.025999832E1
1.711326781E0	-6.480000019E0	2.171999931E1	-4.031999969E1
1.719549704E0	-7.440000057E0	2.160000038E1	-3.954000092E1
1.727643819E0	-8.279999733E0	2.165999985E1	-3.918000031E1
1.735785396E0	-9.359999657E0	2.142000008E1	-3.936000061E1
1.743893704E0	-1.050000000E1	2.105999947E1	-3.947999954E1
1.752020434E0	-1.163999939E1	2.057999992E1	-3.954000092E1
1.760258011E0	-1.289999962E1	1.973999977E1	-3.911999893E1
1.768352242E0	-1.469999981E1	1.835999870E1	-3.857999802E1
1.776477857E0	-1.511999989E1	1.697999954E1	-3.857999802E1
1.785663050E0	-1.602000046E1	1.619999886E1	-3.804000092E1
1.793789819E0	-1.692000008E1	1.542000008E1	-3.827999878E1
1.802012088E0	-1.739999962E1	1.517999935E1	-3.852000046E1
1.810122011E0	-1.818000031E1	1.409999943E1	-3.875999832E1
1.818248819E0	-1.902000046E1	1.301999950E1	-3.971999741E1
1.826384819E0	-1.955999947E1	1.230000019E1	-3.977999878E1
1.834526088E0	-2.021999931E1	1.055999947E1	-3.965999985E1
1.842748049E0	-2.105999947E1	9.119999886E0	-3.929999924E1
1.850841049E0	-2.153999901E1	7.679999828E0	-3.911999893E1
1.858982549E0	-2.237999916E1	5.759999752E0	-3.881999969E1
1.867123203E0	-2.363999939E1	4.500000000E0	-3.839999771E1
1.875250011E0	-2.442000008E1	3.000000000E0	-3.809999847E1
1.883488395E0	-2.555999947E1	9.599999785E-1	-3.761999893E1
1.891581472E0	-2.615999985E1	0.000000000E0	-3.738000107E1
1.899707665E0	-2.579999924E1	-1.019999981E0	-3.725999832E1
1.908889588E0	-2.531999969E1	-1.860000014E0	-3.768000031E1
1.917016049E0	-2.489999962E1	-2.220000029E0	-3.815999985E1
1.925240665E0	-2.513999939E1	-3.240000010E0	-3.827999878E1
1.933349626E0	-2.531999969E1	-4.139999866E0	-3.750000000E1
1.941477972E0	-2.573999977E1	-5.159999847E0	-3.641999817E1
1.949613203E0	-2.639999962E1	-6.420000076E0	-3.504000092E1
1.957753164E0	-2.759999847E1	-8.519999504E0	-3.371999741E1
1.965976241E0	-2.831999969E1	-1.085999966E1	-3.227999878E1
1.974070241E0	-2.951999855E1	-1.367999935E1	-3.150000000E1
1.982210241E0	-2.945999908E1	-1.619999886E1	-3.000000000E1
1.990343126E0	-2.897999954E1	-1.823999977E1	-2.909999847E1
1.998469280E0	-2.873999977E1	-2.081999969E1	-2.879999924E1
2.006576241E0	-2.735999870E1	-2.279999924E1	-2.795999908E1
2.014668587E0	-2.693999863E1	-2.507999992E1	-2.807999992E1
