"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"
1.129527898E0	-1.125532627E0	4.355705082E-1	-1.350345612E-1
1.137618129E0	-9.526243210E-1	3.553843498E-1	-9.062194824E-2
1.145606115E0	-8.299064636E-1	3.404899836E-1	2.749633789E-2
1.153946475E0	-6.849207878E-1	3.762603998E-1	-5.252933502E-2
1.162072744E0	-4.048824310E-1	3.623842895E-1	-1.768312454E-1
1.170173321E0	-2.645592690E-1	5.801537633E-1	4.707050323E-2
1.178300052E0	-2.867116928E-1	6.870663166E-1	-8.072185516E-2
1.186488706E0	1.415586472E-2	4.428068995E-1	-3.320560455E-1
1.194634283E0	5.136537552E-2	2.388311327E-1	-2.565340996E-1
1.202761206E0	4.266405106E-2	-2.173602581E-2	-1.858167648E-1
1.210872975E0	6.386518478E-2	-1.987442970E-1	-2.969932556E-1
1.219014321E0	2.278933525E-1	-3.478170037E-1	-3.753213882E-1
1.227031345E0	3.601856232E-1	-3.449164033E-1	-5.701766014E-1
1.235331283E0	3.946866989E-1	-2.382951975E-1	-6.994953156E-1
1.243473167E0	5.909304619E-1	-1.144450903E-1	-7.785110474E-1
1.251586936E0	8.117666245E-1	-7.492268085E-2	-7.658114433E-1
1.259714282E0	9.809989929E-1	-1.564738750E-1	-6.851682663E-1
1.267822205E0	1.000851154E0	-1.770120859E-1	-7.291698456E-1
1.275917321E0	1.000074387E0	-1.839129925E-1	-1.041022778E0
1.284045128E0	1.150825500E0	-2.709175348E-1	-9.430155754E-1
1.292147782E0	1.043680668E0	-3.067846298E-1	-4.118199348E-1
1.300273859E0	6.146068573E-1	-2.886239290E-1	-4.497337341E-1
1.308276884E0	6.729345322E-1	-3.084659576E-1	-1.034005165E0
1.316605975E0	8.028259277E-1	-2.815818787E-1	-1.454356670E0
1.324732244E0	6.737174988E-1	-1.963796616E-1	-1.450506687E0
1.332853244E0	5.028986931E-1	-8.358073235E-2	-1.430665016E0
1.340994513E0	3.716106415E-1	3.661870956E-2	-1.657454967E0
1.349184590E0	6.585392952E-1	-1.247205734E-1	-2.091343880E0
1.357315628E0	4.794049263E-1	1.476142406E-1	-1.943115711E0
1.365458051E0	3.504962921E-1	5.679252148E-1	-1.355046749E0
1.373576474E0	1.637063026E-1	9.586001635E-1	-1.026259899E0
1.381704667E0	2.272357941E-1	1.197688580E0	-1.144433022E0
1.389701461E0	5.557184219E-1	1.426766038E0	-1.048629284E0
1.398037013E0	5.048327446E-1	1.831967950E0	-4.160676003E-1
1.406163936E0	4.452333450E-1	2.134693623E0	-3.604865074E-1
1.414273090E0	6.788015366E-1	1.868499517E0	-9.046530724E-1
1.422399974E0	7.308244705E-1	1.191287756E0	-7.677211761E-1
1.430587820E0	4.289045334E-1	4.545133114E-1	-4.508748055E-1
1.438733589E0	2.043123245E-1	-2.611479759E-1	-4.181618690E-1
1.446862397E0	-1.205463409E-1	-6.882638931E-1	-4.087176323E-1
1.454970974E0	-2.811374664E-1	-9.603507519E-1	-6.773734093E-1
1.463111282E0	-6.846899986E-1	-1.004252911E0	-4.209971428E-1
1.471089268E0	-5.373826027E-1	-1.320743084E0	-3.259248734E-1
1.479429166E0	-1.883759499E-1	-1.478471279E0	-7.349014282E-1
1.487573012E0	2.313370705E-1	-1.562361240E0	-8.904099464E-1
1.495686897E0	7.909631729E-2	-9.082822800E-1	-5.443949699E-1
1.503783589E0	-2.260928154E-1	-3.867733479E-1	-3.808379173E-1
1.511988474E0	8.444800377E-1	-1.769931316E-1	-9.935755730E-1
1.520119205E0	8.462924957E-1	3.098573685E-1	-1.299787521E0
1.528212858E0	7.671360970E-1	7.773034573E-1	-1.151460171E0
1.536309858E0	7.357025146E-1	8.284068108E-1	-1.036128998E-1
1.544436974E0	7.090067863E-1	6.936049461E-2	4.425396919E-1
1.552580691E0	1.398636818E0	-8.913476467E-1	-3.084077835E-1
1.560769127E0	2.556615353E0	-1.944975853E0	-6.258673668E-1
1.568896512E0	3.305477142E0	-3.313619137E0	1.370611191E-1
1.577029435E0	3.103121758E0	-4.818985939E0	1.767065525E0
1.585170935E0	3.505452156E0	-5.617239952E0	2.764777184E0
1.593358397E0	3.264890671E0	-5.516064644E0	2.855833530E0
1.601487820E0	3.129205227E0	-4.417913437E0	2.953949451E0
1.609629166E0	2.482880592E0	-3.930370808E0	2.335490704E0
1.617764973E0	2.921799183E0	-3.443226099E0	1.711333752E0
1.625892627E0	2.990099907E0	-3.084214926E0	1.733780861E0
1.633925076E0	3.101472855E0	-3.129830837E0	1.432551384E0
1.642225550E0	3.156037807E0	-3.010545969E0	6.121630669E-1
1.650351627E0	2.928441525E0	-2.861705780E0	-4.640550613E-1
1.658441127E0	2.168827057E0	-3.209689140E0	-1.383471012E0
1.666566665E0	1.547127724E0	-2.204164982E0	-3.187864304E0
1.674752242E0	2.208032131E0	-7.925348282E-1	-3.757407188E0
1.682893896E0	2.468205452E0	6.776230335E-1	-3.920800924E0
1.691020665E0	2.277393818E0	1.476877928E0	-4.077086926E0
1.699127973E0	2.439045906E0	1.835354090E0	-3.996016979E0
1.707269358E0	2.611343384E0	1.562359571E0	-2.916116476E0
1.715266076E0	1.929664612E0	7.244257331E-1	-2.285832644E0
1.723586319E0	2.338949203E0	3.110518754E-1	-1.943761349E0
1.731727973E0	1.568238258E0	-1.438755035E0	-1.358750105E0
1.739836473E0	1.438260078E0	-2.662737846E0	-2.223313332E0
1.747963319E0	9.632215500E-1	-3.631712914E0	-1.860907316E0
1.756166165E0	1.937618256E-1	-3.901296616E0	-9.478807449E-1
1.764295242E0	1.222763062E-1	-4.223144054E0	-6.329383850E-1
1.772420473E0	-4.088644981E-1	-5.018888474E0	-4.502983093E-1
1.781571127E0	-1.454948425E0	-5.780223846E0	4.388241768E-1
1.789732242E0	-1.704908371E0	-6.515810013E0	1.603691578E0
1.797785268E0	-2.034985542E0	-5.650038719E0	1.419249535E0
1.806064088E0	-1.429510593E0	-4.948790550E0	2.391207695E0
1.814191280E0	-2.473950386E-1	-3.712815523E0	4.138498783E0
1.822326934E0	-1.812612057E0	-5.072355270E0	3.098699093E0
1.830468973E0	-7.574181557E-1	-5.149742603E0	3.412148952E0
1.838656203E0	4.149446487E-1	-7.198750496E0	2.645755768E0
1.846783626E0	9.938797951E-1	-8.385311127E0	1.739331722E0
1.854925088E0	7.393188477E-1	-8.605120659E0	1.383315086E0
1.863065511E0	-2.334918976E-1	-8.588756561E0	1.484138489E0
1.871193126E0	-2.530706596E1	-1.976701021E0	-9.785884857E0
1.879276653E0	-2.938605881E1	4.605372906E0	-1.350450611E1
1.887524472E0	-1.289055634E1	4.446527481E0	-6.417477131E0
1.895650857E0	-3.103320122E0	3.053977966E0	-8.696095943E-1
1.904797088E0	9.968762398E-1	2.494423389E0	-2.382049561E-1
1.921148088E0	7.388800144E0	-9.280080795E-1	3.263884544E0
1.929292664E0	1.177984428E1	-3.068617344E0	3.729499340E0
1.937419511E0	6.318364620E0	-5.719723701E0	3.138735056E0
1.945556088E0	5.443820477E0	-7.094417572E0	1.304236412E0
1.953695434E0	2.923767567E0	-6.030799389E0	6.357214451E-1
1.961768806E0	-1.116909027E0	-5.721791744E0	1.039664268E0
1.970013395E0	-3.453193665E0	-6.557099819E0	5.116841793E-1
1.978153472E0	-6.543349266E0	-6.368911743E0	-3.630955219E-1
1.986286549E0	-8.517141342E0	-6.146909714E0	-2.137566090E0
1.994412357E0	-9.739758492E0	-5.214097977E0	-3.454850674E0
2.002464422E0	-1.100567245E1	-3.031057835E0	-4.333075047E0
2.010611703E0	-1.114740086E1	-1.071891785E0	-4.697214127E0
2.018737164E0	-9.907280922E0	7.941741943E-1	-5.349179268E0
2.026826318E0	-1.190062618E1	5.199129105E0	-6.139198303E0
2.034951318E0	-1.280134296E1	9.272747993E0	-6.568203926E0
2.042978229E0	-1.317926598E1	1.233305168E1	-5.628800869E0
2.051279356E0	-1.191078663E1	1.432725525E1	-2.457826853E0
2.059405049E0	-8.709622383E0	1.360978794E1	2.353790998E-1
2.067538164E0	-4.695988655E0	1.172966194E1	2.636118889E0
2.075677395E0	-1.018049121E0	9.780377388E0	2.598804712E0
2.083863664E0	1.656630397E0	7.453425407E0	8.478066921E-1
2.091990702E0	3.254716873E0	5.369296074E0	-9.097297192E-1
2.100132048E0	3.870750427E0	3.248086929E0	-1.738680720E0
2.108267433E0	2.854087830E0	1.478818893E0	-1.991598725E0
2.116395241E0	2.527212381E0	-2.217569351E-1	-1.562980175E0
2.124419999E0	2.311260700E0	-1.611564159E0	-9.911429882E-1
2.132728587E0	1.755005598E0	-2.589298725E0	-7.152537107E-1
2.140856664E0	1.323155642E0	-3.354136944E0	-7.028806210E-1
2.148946894E0	1.520245075E0	-3.851494312E0	-3.549916744E-1
2.157073356E0	1.315860987E0	-3.760011196E0	-7.257137299E-1
2.165225268E0	1.051075697E0	-3.316966534E0	-1.106713891E0
2.173403779E0	9.750540257E-1	-2.608075619E0	-8.520767689E-1
2.181529625E0	6.071023941E-1	-1.686721325E0	-7.996849418E-1
2.189643114E0	2.699089050E-1	-8.924274445E-1	-5.511363745E-1
2.197811010E0	1.292835474E0	-8.630237579E-1	-2.511169910E-1
2.205857229E0	7.068355083E-1	-8.264341354E-1	-2.942961454E-1
2.214116383E0	1.594293594E0	-1.094702244E0	-3.980433941E-1
2.222267586E0	2.373077154E0	-1.107055664E0	-8.954077959E-1
2.230387883E0	3.724254370E0	-7.080593109E-1	-9.807006717E-1
2.238533548E0	7.728727341E0	-5.191001892E-1	-1.351510525E0
2.246687922E0	5.032284737E0	1.561284065E0	4.878407717E-1
2.254864548E0	2.247942686E0	3.397602081E0	3.841881752E-1
2.262990279E0	4.495964050E-1	2.957808495E0	-1.341935396E0
2.271076740E0	-5.658590794E-1	1.491222382E0	-2.599944353E0
2.279201394E0	-1.659699440E0	5.361423492E-1	-3.241374731E0
2.287196614E0	-2.322027206E0	-1.163959503E-2	-3.175150871E0
2.295529663E0	-1.811116457E0	-3.028726578E-1	-2.016875267E0
2.303656240E0	-1.210415602E0	-2.910871506E-1	-8.244742751E-1
2.311792345E0	-8.960807323E-1	4.555225372E-2	3.092961311E-1
2.319934971E0	-4.226186275E-1	3.814840317E-1	6.713858843E-1
2.328083999E0	-1.776008606E-1	7.317533493E-1	4.662253857E-1
2.336254240E0	2.039356232E-1	6.556348801E-1	1.373744011E-2
2.344395383E0	4.111480713E-1	4.911642075E-1	-4.370177984E-1
2.352504778E0	5.084838867E-1	2.415437698E-1	-6.996663213E-1
2.360629278E0	6.220941544E-1	-3.421592712E-2	-1.150687218E0
2.368658883E0	9.794030190E-1	-4.417533875E-1	-1.344105959E0
2.376962855E0	1.109342575E0	-7.948150635E-1	-1.071120620E0
2.385087883E0	1.152223110E0	-9.995331764E-1	-6.755617857E-1
2.393189240E0	1.226854324E0	-1.546973705E0	2.042976618E-1
2.401317663E0	6.538581848E-2	-1.523453236E0	-4.693230987E-1
2.409493460E0	-8.854250908E-1	-1.327701569E0	-3.589359522E-1
2.417651740E0	-5.394113064E-1	-9.920549393E-1	-4.567257762E-1
2.425779932E0	1.739835739E-2	-6.265659332E-1	-6.111614704E-1
2.433887345E0	4.149761200E-1	-3.671741486E-2	-5.450839400E-1
2.442028201E0	6.167769432E-1	2.297163010E-1	-1.753709316E-1
2.450172729E0	7.055053711E-1	5.608778000E-1	-1.800353527E-1
2.458344893E0	7.118344307E-1	8.061857224E-1	-1.087690592E-1
2.466484739E0	5.695891380E-1	9.682006836E-1	6.698620319E-2
2.474600162E0	4.965734482E-2	9.236011505E-1	9.935140610E-3
2.482725470E0	-6.403698921E-1	6.551504135E-1	-3.632169366E-1
2.490890614E0	-7.996704578E-1	3.343820572E-1	-2.465396523E-1
2.499053393E0	-2.480354309E-1	1.031370163E-1	-6.529951096E-2
2.507179739E0	5.816607475E-1	-5.851268768E-2	5.603253841E-2
2.515284355E0	8.998913765E-1	-7.121849060E-2	9.839367867E-2
2.523409508E0	9.130101204E-1	1.659803391E-1	3.984740973E-1
2.531430575E0	6.153898239E-1	2.619123459E-1	4.153901339E-1
2.539741854E0	9.006452560E-2	1.272697449E-1	2.186398506E-1
2.547870816E0	-3.270592690E-1	1.422462463E-1	5.632237196E-1
2.556012114E0	-8.642563820E-1	4.002647400E-1	8.728170395E-2
2.564154508E0	-4.845566750E-1	-2.634429932E-2	2.293292284E-1
2.572333691E0	-6.007454395E-1	-4.210090637E-2	7.607624531E-1
2.580473085E0	-5.165832043E-1	-2.020359039E-2	6.082744598E-1
2.588616316E0	-5.375630856E-1	-3.265838623E-1	-4.646902680E-1
2.596733931E0	3.955297470E-1	-1.008798122E0	-1.630523205E-1
2.604828816E0	2.810544968E-1	-1.513128757E0	-1.298261881E-1
