"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"
4.274580380E-1	2.049436569E0	-7.733271718E-1	9.066842079E0
4.298426320E-1	2.030282974E0	-8.188169599E-1	9.035717010E0
4.310382690E-1	1.999158382E0	-9.313444495E-1	8.975862503E0
4.339006700E-1	1.999158382E0	-1.053448796E0	8.937555313E0
4.356143840E-1	2.039859772E0	-1.230619669E0	8.944737434E0
4.379436320E-1	2.056619167E0	-1.273715258E0	8.961497307E0
4.391366540E-1	2.094926596E0	-1.321599364E0	9.002198219E0
4.420009390E-1	2.140416384E0	-1.288080573E0	9.076418877E0
4.435754230E-1	2.135627985E0	-1.221042871E0	9.145850182E0
4.460381320E-1	2.087743998E0	-1.122880578E0	9.217676163E0
4.472167310E-1	2.008735180E0	-9.935936928E-1	9.287108421E0
4.500954390E-1	1.920149803E0	-8.499416113E-1	9.351752281E0
4.515223840E-1	1.831564307E0	-7.038952708E-1	9.380482674E0
4.542279010E-1	1.757344007E0	-5.650315881E-1	9.361329079E0
4.555518460E-1	1.707065821E0	-4.501099288E-1	9.306262016E0
4.583203620E-1	1.695094824E0	-3.591302633E-1	9.246406555E0
4.599032310E-1	1.704671621E0	-2.920926213E-1	9.193734169E0
4.623722850E-1	1.726219416E0	-2.394201756E-1	9.150638580E0
4.636054230E-1	1.757344007E0	-2.011129409E-1	9.124302864E0
4.664300160E-1	1.771709204E0	-1.747767180E-1	9.102754593E0
4.681130000E-1	1.762132406E0	-1.628057212E-1	9.083600998E0
4.704994780E-1	1.740584612E0	-1.532289088E-1	9.076418877E0
4.719972690E-1	1.716642618E0	-1.484405100E-1	9.069235802E0
4.745566700E-1	1.695094824E0	-1.436520964E-1	9.064447403E0
4.762853840E-1	1.654393315E0	-1.651999205E-1	9.057265282E0
4.786089010E-1	1.635239720E0	-1.867477298E-1	9.059659004E0
4.800402690E-1	1.596932530E0	-2.513911724E-1	9.052476883E0
4.826665160E-1	1.584961534E0	-3.112462163E-1	9.040505409E0
4.847794610E-1	1.580173135E0	-4.285621047E-1	9.026140213E0
4.867043620E-1	1.580173135E0	-4.692635238E-1	9.021351814E0
4.878946920E-1	1.587355733E0	-5.386953950E-1	8.997409821E0
4.907613240E-1	1.618480325E0	-6.081272364E-1	8.963891029E0
4.920671540E-1	1.647210717E0	-6.703764796E-1	8.932766914E0
4.947398840E-1	1.651999116E0	-7.374141216E-1	8.889671326E0
4.961135000E-1	1.628057122E0	-7.996633649E-1	8.834604263E0
4.989845550E-1	1.572990537E0	-8.690952063E-1	8.748413086E0
