"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"
1.790037384E0	-3.242390633E0	3.468399048E0	1.393134594E1
1.798028614E0	-9.057706833E0	6.077441216E0	1.677384186E1
1.806060537E0	-7.616668701E0	6.942691326E0	1.035055161E1
1.814367614E0	-3.302392483E0	5.986732960E0	4.953532219E0
1.822377845E0	-2.144912243E0	5.232197285E0	2.605212212E0
1.830516461E0	-1.759274483E0	3.704619408E0	3.388000488E0
1.838608268E0	-1.597679615E0	2.612343788E0	6.797719002E0
1.846644614E0	-1.155605316E-1	-1.120824337E0	5.601093292E0
1.854767537E0	-4.074363708E-1	-2.728371859E0	4.148385048E0
1.862959922E0	3.676047325E-1	-3.761378765E0	2.347521782E0
1.870977614E0	-9.305267334E-1	-4.301171303E0	-2.624835968E-1
1.879166076E0	1.321107388E0	-3.759249210E0	-1.580353260E0
1.886119027E0	3.915934563E0	-3.551127911E0	-1.675510406E0
1.887551537E0	4.368438721E0	-3.543945312E0	-1.555799961E0
1.895459614E0	2.560662270E0	-2.620684624E0	-1.948485851E0
1.903555845E0	3.325176239E-1	-1.280197382E0	-1.951037407E0
1.911714807E0	1.631495953E0	-5.816841125E-1	-2.726454258E0
1.919999230E0	1.113448143E0	2.115496397E-1	-3.283552170E0
1.927975422E0	-1.270405531E0	1.161162257E0	-1.618316174E0
1.936154114E0	-2.346648693E0	1.710850596E0	6.372871399E-1
1.944109076E0	-2.471743584E0	2.053581715E0	1.725184441E0
1.952329884E0	-1.624035597E0	2.998254776E0	1.906747818E0
1.960460076E0	-1.148955345E0	3.446000099E0	8.325901031E-1
1.968545999E0	-1.578181982E0	2.585094213E0	8.073234558E-2
1.976716691E0	-1.343375683E0	1.713259339E0	-8.942213058E-1
1.984770653E0	-8.380863667E-1	1.376478076E0	-1.663166046E0
1.992874153E0	-4.493360519E-1	1.711890459E0	-2.316515923E0
2.001083422E0	-3.989310265E-1	-2.360669613E0	9.498920441E-1
2.009287114E0	1.675233364E0	-1.604865837E1	6.094397545E0
2.017381653E0	-4.107108116E-1	-6.465255737E0	-5.312502861E0
2.025424499E0	-1.111833096E0	3.130511045E0	-8.648922920E0
2.033596730E0	-1.384003162E0	3.836599350E0	-9.078302383E-1
2.041946807E0	-2.311959267E-1	1.954987764E0	4.078680992E0
2.049906845E0	-2.251918316E0	2.140659332E0	3.865386009E0
2.058023730E0	-3.438386440E0	2.443810940E0	3.000581741E0
2.066073845E0	-2.840706110E0	9.107518792E-1	3.094594002E0
2.074264230E0	-2.081342220E0	-3.804823160E-1	2.678585052E0
2.082406691E0	-1.544975281E0	-7.378855348E-1	2.009938240E0
2.090518730E0	-1.228507996E0	-8.066526055E-1	1.047391891E0
2.098964999E0	3.378474712E-1	-9.487509727E-1	6.687612534E-1
2.106787345E0	-7.957744598E-2	-2.220666647E0	1.688499451E-1
2.114852960E0	4.754579067E-1	-4.182745934E0	-8.231105804E-1
2.123020576E0	1.027259827E-1	-2.532925844E0	-1.931460381E0
2.131235576E0	1.148062229E0	-2.124893904E0	-2.729400158E0
2.139489076E0	6.203896999E-1	-1.963794708E0	-2.079905987E0
2.147416883E0	-9.310309887E-1	-1.280337214E0	-2.881326675E-1
2.155675614E0	-4.121446133E0	-1.021963596E0	2.213973999E0
2.163665230E0	-7.011634827E0	-1.864023209E0	2.337444305E0
2.172026306E0	-7.037372589E0	-5.515090942E0	2.419168472E0
2.179951460E0	-5.007206917E0	-3.088691235E0	2.194894791E0
2.188050383E0	-1.309948206E0	-2.452740669E0	2.869062424E-1
2.196117422E0	8.170504570E-1	-1.650546908E0	-2.580605507E0
2.204288422E0	3.198318958E0	-1.455988884E-1	-4.099907875E0
2.212672383E0	5.573314190E0	2.659673452E0	-4.775324345E0
2.220488883E0	8.438350677E0	2.844162941E0	-2.850056648E0
2.228719537E0	8.258694649E0	3.246640444E0	-6.234369278E-1
2.236753691E0	6.098474503E0	3.533295155E0	9.582557678E-1
2.244975691E0	3.296597958E0	4.236838818E0	8.723678589E-1
2.253114229E0	1.540415764E0	5.455079556E0	5.816097260E-1
2.261165691E0	1.322680950E0	5.737189770E0	4.137468338E-1
2.268107334E0	1.564441204E0	5.170922756E0	5.237884521E-1
2.269301960E0	1.526134014E0	4.948261738E0	4.495687485E-1
2.277462229E0	1.206389427E0	4.394256115E0	2.798290253E-1
2.285674653E0	8.973627090E-1	3.591041088E0	7.250881195E-2
2.293923768E0	3.463864326E-1	2.968585968E0	-1.460628510E-1
2.301873614E0	2.795815468E-1	2.915297270E0	-4.659175873E-2
2.310003037E0	6.852378845E-1	3.006547213E0	-3.386106491E-1
2.318092537E0	7.552418709E-1	3.246632099E0	-3.856925964E-1
2.326291691E0	8.066911697E-1	2.786885977E0	-2.242240906E-1
2.334407345E0	1.025078773E0	2.353815794E0	-6.241211891E-1
2.342533229E0	6.614346504E-1	1.514539123E0	-6.405487061E-1
2.350728422E0	3.268566132E-1	1.618428946E0	-4.435853958E-1
2.358825383E0	-7.380943298E-1	1.521259308E0	-7.100443840E-1
2.366977460E0	-1.014061213E0	1.627600908E0	-3.090286255E-2
2.375197268E0	-1.187316656E0	9.154832363E-1	2.112197876E-1
2.383209191E0	-1.627870798E0	3.587983251E-1	1.813030243E-1
2.399448076E0	-2.056377649E0	-1.699494123E-1	-1.032934189E-1
2.407611306E0	-1.740175724E0	-2.982394695E-1	2.217617035E-1
2.415722768E0	-1.356745243E0	-3.038749099E-1	5.251483917E-1
2.423876922E0	-4.789390564E-1	-7.615821958E-1	7.469148636E-1
2.431971575E0	-3.088188171E-2	-1.109697819E0	1.531515121E-1
2.440159114E0	7.056899071E-1	-1.719540000E0	-2.812805176E-1
