"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"
2.551204620E-1	7.206547260E-1	-3.663128614E-1	1.004607010E1
2.577893030E-1	6.368576288E-1	-2.849099934E-1	9.981427193E0
2.593155000E-1	7.182605267E-1	-2.992752194E-1	9.749189377E0
2.618502260E-1	8.978256583E-1	-3.974374831E-1	9.392453194E0
2.630292690E-1	1.079784989E0	-5.195417404E-1	9.009381294E0
2.659041110E-1	1.204283476E0	-5.889736414E-1	8.791508675E0
2.676010770E-1	1.158793569E0	-4.165911078E-1	9.124302864E0
2.699616100E-1	9.169792533E-1	-7.182605099E-3	9.828198433E0
2.711473460E-1	7.326257229E-1	2.298433632E-1	1.012268448E1
2.740146490E-1	6.679822803E-1	2.609679997E-1	1.012029076E1
2.755412310E-1	6.512228847E-1	2.705447972E-1	1.018732834E1
2.780881870E-1	6.607996821E-1	3.256114423E-1	1.034774017E1
2.792584620E-1	6.871358752E-1	3.303998411E-1	1.033816338E1
2.821413410E-1	7.422025204E-1	2.825157940E-1	1.032140350E1
2.836720770E-1	8.212111592E-1	3.327940404E-1	1.058955383E1
2.861220770E-1	9.193734527E-1	4.046200812E-1	1.076911926E1
2.873949230E-1	9.911994934E-1	4.405331016E-1	1.090319443E1
2.902554180E-1	1.048660398E0	4.309563041E-1	1.103487587E1
2.916083080E-1	1.340752959E0	2.202665508E-1	1.106839466E1
2.942611540E-1	1.836352706E0	-1.197100878E-1	1.097980881E1
2.955842690E-1	2.099714994E0	-3.040636182E-1	1.098938560E1
2.984590720E-1	2.164358377E0	-3.926490843E-1	1.106360626E1
3.000318080E-1	2.130839586E0	-4.955997467E-1	1.115937424E1
3.025329570E-1	2.106897593E0	-5.315127969E-1	1.125035381E1
3.037080390E-1	2.092532396E0	-5.291185975E-1	1.130781460E1
3.065861490E-1	2.080561161E0	-5.051765442E-1	1.132457447E1
3.082981920E-1	2.037465572E0	-4.884171486E-1	1.135330486E1
3.106513800E-1	1.929726601E0	-4.764461517E-1	1.137724686E1
3.118354230E-1	1.771709204E0	-4.860229492E-1	1.140597725E1
3.147050720E-1	1.575384736E0	-5.171475410E-1	1.141794777E1
3.162189620E-1	1.391031146E0	-5.698199868E-1	1.137724686E1
3.187649560E-1	1.268926859E0	-6.416460276E-1	1.123359394E1
3.199465390E-1	1.221042871E0	-7.302315235E-1	1.112585545E1
3.228191490E-1	1.218648672E0	-8.331822157E-1	1.130063248E1
3.245752310E-1	1.209071875E0	-9.600749016E-1	1.163821411E1
3.268953030E-1	1.218648672E0	-1.024718285E0	1.192791271E1
3.283263850E-1	1.309628367E0	-9.552865028E-1	1.205001736E1
3.309499560E-1	1.474828243E0	-7.781155705E-1	1.202846909E1
3.324002310E-1	1.663970232E0	-5.746083856E-1	1.189200020E1
3.350471100E-1	1.838746905E0	-3.806780577E-1	1.167412758E1
3.362584620E-1	1.975216389E0	-2.011129409E-1	1.143710136E1
3.391358030E-1	2.073378563E0	-6.464344263E-2	1.124077702E1
3.406428850E-1	2.123656988E0	1.197100803E-2	1.111388397E1
3.431637260E-1	2.128445387E0	3.591302410E-2	1.105642319E1
3.443858460E-1	2.121262789E0	4.309562966E-2	1.100614548E1
3.472175330E-1	2.106897593E0	5.506663769E-2	1.090798283E1
3.489969230E-1	2.073378563E0	1.412578970E-1	1.064222622E1
3.512887640E-1	2.047042370E0	1.675941199E-1	1.051772785E1
3.526506920E-1	1.972822189E0	1.867477298E-1	1.025436592E1
3.553434180E-1	1.790862918E0	7.182604820E-2	1.004607010E1
3.568860390E-1	1.180341482E0	-4.189853072E-1	9.849745750E0
3.594060330E-1	9.337386489E-1	-5.865794420E-1	9.768342972E0
3.606440770E-1	5.243301988E-1	-7.852981687E-1	9.526528358E0
3.634597640E-1	4.165911078E-1	-7.398083210E-1	9.136273384E0
3.649789620E-1	7.661445141E-1	-4.405331016E-1	8.451532364E0
3.674533460E-1	1.041477680E0	-2.705447972E-1	8.130708694E0
3.687663080E-1	1.206677675E0	-1.723825186E-1	7.972691536E0
3.715721490E-1	1.292868972E0	-1.268926859E-1	7.915230751E0
3.729916920E-1	1.376665950E0	-7.900865376E-2	7.953537941E0
3.755321150E-1	1.501164436E0	1.197100803E-2	8.020575523E0
3.768372310E-1	1.687912226E0	1.436520964E-1	8.018181801E0
3.796949560E-1	1.900996208E0	2.968810201E-1	7.982268333E0
3.812086920E-1	2.106897593E0	4.572925270E-1	7.931990147E0
3.837553410E-1	2.274491549E0	6.009446383E-1	7.867346764E0
3.850771920E-1	2.410961151E0	7.038952708E-1	7.802703381E0
3.878088790E-1	2.523488522E0	7.685387731E-1	7.723694801E0
3.894796920E-1	2.557007313E0	7.422025204E-1	7.654263020E0
3.918691870E-1	2.449268341E0	4.501099288E-1	7.718906403E0
3.930573850E-1	2.377442360E0	2.082955539E-1	7.773972988E0
3.959227250E-1	2.329558372E0	1.292868853E-1	7.711723804E0
3.974594230E-1	2.262520552E0	9.576806426E-2	7.577648163E0
3.999978410E-1	2.164358377E0	6.943184882E-2	7.402871609E0
4.012055380E-1	2.039859772E0	4.309562966E-2	7.223306656E0
4.040515330E-1	1.817199111E0	9.097966552E-2	6.950367451E0
4.055557310E-1	1.565807939E0	1.292868853E-1	6.600813866E0
4.081126870E-1	1.295263171E0	1.699883193E-1	6.050147533E0
4.094130770E-1	1.005564690E0	2.585737705E-1	5.128379822E0
4.121676480E-1	7.661445141E-1	3.639186621E-1	3.928884983E0
4.133918850E-1	6.727706790E-1	4.668693244E-1	2.841917515E0
4.162654180E-1	7.038952708E-1	5.650315881E-1	2.205059767E0
4.174679230E-1	7.709329724E-1	6.751648784E-1	2.020706177E0
4.203552640E-1	8.834604025E-1	7.829039693E-1	2.037465572E0
4.218948080E-1	1.074996591E0	1.027112484E0	2.700659513E0
4.244316480E-1	1.125274777E0	1.137245774E0	3.141192675E0
4.256236150E-1	1.266532660E0	1.312022567E0	4.036623955E0
4.284873020E-1	1.604115129E0	1.362300754E0	4.637568474E0
4.305750000E-1	2.432508945E0	1.304839969E0	5.406107426E0
4.325409180E-1	2.774879694E0	1.335964561E0	6.318298340E0
