"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"
2.093716800E-1	-5.400890708E-1	-3.360909224E-1	-6.061354876E-1
2.107588080E-1	-5.443501472E-1	-3.392867148E-1	-5.922870636E-1
2.134281800E-1	-5.480785370E-1	-3.430151641E-1	-5.741775632E-1
2.154571420E-1	-5.502091050E-1	-3.472762108E-1	-5.539374948E-1
2.174688340E-1	-5.507417321E-1	-3.440804183E-1	-5.358279943E-1
2.188088460E-1	-5.550028086E-1	-3.435477912E-1	-5.203816891E-1
2.215261420E-1	-5.576659441E-1	-3.323625028E-1	-5.049353242E-1
2.234805000E-1	-5.624596477E-1	-3.137203753E-1	-4.910869002E-1
2.255721800E-1	-5.677859783E-1	-2.966761589E-1	-4.767058492E-1
2.269203850E-1	-5.683186054E-1	-2.764361203E-1	-4.639226794E-1
2.296290650E-1	-5.768406987E-1	-2.572613657E-1	-4.522047639E-1
2.316575650E-1	-5.821670294E-1	-2.375539690E-1	-4.442152679E-1
2.336596030E-1	-5.858954787E-1	-2.103897333E-1	-4.319647253E-1
2.353536540E-1	-5.938849449E-1	-1.864212751E-1	-4.239752591E-1
2.376613340E-1	-6.013417840E-1	-1.635181010E-1	-4.154531360E-1
2.396371930E-1	-6.114618182E-1	-1.395496428E-1	-4.122573435E-1
2.415009620E-1	-6.167881489E-1	-1.150485575E-1	-4.069310129E-1
2.429695770E-1	-6.253102422E-1	-9.374327213E-2	-4.021373391E-1
2.457141800E-1	-6.402239203E-1	-6.604639441E-2	-4.016047120E-1
2.477003850E-1	-6.482134461E-1	-4.420847446E-2	-3.978762627E-1
2.497601800E-1	-6.551376581E-1	-2.929477207E-2	-4.026699662E-1
2.511478850E-1	-6.615292430E-1	-1.438106969E-2	-4.069310129E-1
2.538164490E-1	-6.705839634E-1	-3.195793368E-3	-4.111920893E-1
2.558334230E-1	-6.791061163E-1	1.278317347E-2	-4.202468395E-1
2.578616030E-1	-6.817692518E-1	2.290318534E-2	-4.229099751E-1
2.592233850E-1	-6.924219131E-1	2.982740477E-2	-4.314320982E-1
2.619182190E-1	-6.993461251E-1	3.408846259E-2	-4.426173866E-1
2.638237690E-1	-7.089334726E-1	3.408846259E-2	-4.639226794E-1
2.659479110E-1	-7.275756001E-1	2.396845073E-2	-4.926848114E-1
2.672896160E-1	-7.435545921E-1	3.195793368E-3	-5.219795704E-1
2.700044490E-1	-7.595335841E-1	-3.142530099E-2	-5.528722405E-1
2.720073080E-1	-7.728493810E-1	-7.616640627E-2	-5.922870636E-1
2.740506800E-1	-7.824367285E-1	-1.299622655E-1	-6.285060048E-1
2.754890000E-1	-7.893609405E-1	-2.125202566E-1	-6.540724039E-1
2.780441800E-1	-7.952198982E-1	-3.382214606E-1	-6.652576327E-1
2.800385260E-1	-8.021441102E-1	-4.697816372E-1	-6.695187092E-1
2.819733080E-1	-8.037420511E-1	-6.008091569E-1	-6.785734296E-1
2.833773460E-1	-8.106662631E-1	-7.265103459E-1	-6.796387434E-1
2.858731920E-1	-8.181231022E-1	-8.596684337E-1	-6.817692518E-1
2.880383080E-1	-8.293083906E-1	-9.965549111E-1	-6.775081754E-1
2.901305260E-1	-8.319715261E-1	-1.145691872E0	-6.647250056E-1
2.914561920E-1	-8.351673484E-1	-1.298024774E0	-6.455502510E-1
2.941883340E-1	-8.394283652E-1	-1.441835403E0	-6.215817928E-1
2.962173340E-1	-8.388957381E-1	-1.564340830E0	-5.949501991E-1
2.982447570E-1	-8.415589333E-1	-1.659682035E0	-5.651227832E-1
2.996153080E-1	-8.463526368E-1	-1.726793647E0	-5.358279943E-1
3.023018720E-1	-8.420915604E-1	-1.777393699E0	-5.049353242E-1
3.042046160E-1	-8.410263062E-1	-1.814677954E0	-4.713795185E-1
3.063334490E-1	-8.372978568E-1	-1.840244293E0	-4.372910559E-1
3.076459230E-1	-8.287757635E-1	-1.861549616E0	-4.026699662E-1
3.103907570E-1	-8.191883564E-1	-1.896170735E0	-3.542004228E-1
3.124194880E-1	-7.989483476E-1	-1.950499177E0	-2.945456207E-1
3.144217950E-1	-7.765777707E-1	-2.000034094E0	-2.375539690E-1
