"Time (s)"	"Magnetic field x (µT)"	"Magnetic field y (µT)"	"Magnetic field z (µT)"
1.064170732E0	-2.957999992E1	-3.252000046E1	-5.219999790E0
1.072089038E0	-2.969999886E1	-3.215999985E1	-5.219999790E0
1.080256847E0	-2.963999939E1	-3.119999886E1	-5.099999905E0
1.088220499E0	-3.035999870E1	-3.101999855E1	-4.739999771E0
1.096460192E0	-3.113999939E1	-3.095999908E1	-3.959999800E0
1.104562232E0	-3.185999870E1	-3.047999954E1	-3.839999914E0
1.112582884E0	-3.252000046E1	-3.089999962E1	-3.359999895E0
1.120521192E0	-3.275999832E1	-3.107999992E1	-3.779999971E0
1.128650961E0	-3.227999878E1	-3.107999992E1	-4.019999981E0
1.136841809E0	-3.197999954E1	-3.197999954E1	-4.500000000E0
1.144938424E0	-3.209999847E1	-3.227999878E1	-4.980000019E0
1.153026578E0	-3.107999992E1	-3.227999878E1	-5.339999676E0
1.160894538E0	-3.089999962E1	-3.245999908E1	-6.119999886E0
1.169011653E0	-3.071999931E1	-3.215999985E1	-6.239999771E0
1.177206924E0	-3.029999924E1	-3.173999977E1	-6.119999886E0
1.185268192E0	-3.107999992E1	-3.185999870E1	-5.879999638E0
1.193292538E0	-3.167999840E1	-3.167999840E1	-5.519999981E0
1.201405770E0	-3.227999878E1	-3.101999855E1	-4.739999771E0
1.209357422E0	-3.257999802E1	-3.059999847E1	-4.679999828E0
1.217597308E0	-3.281999969E1	-2.987999916E1	-4.679999828E0
1.225578999E0	-3.293999863E1	-2.939999962E1	-4.619999886E0
1.233686422E0	-3.288000107E1	-2.892000008E1	-4.739999771E0
1.241635192E0	-3.359999847E1	-2.915999985E1	-4.980000019E0
1.249749922E0	-3.395999908E1	-2.885999870E1	-4.859999657E0
1.257954653E0	-3.377999878E1	-2.868000031E1	-4.679999828E0
1.266079885E0	-3.395999908E1	-2.897999954E1	-4.679999828E0
1.274057769E0	-3.347999954E1	-2.826000023E1	-5.039999962E0
1.282152345E0	-3.300000000E1	-2.850000000E1	-5.099999905E0
1.290196422E0	-3.341999817E1	-2.892000008E1	-5.219999790E0
1.298328961E0	-3.336000061E1	-2.921999931E1	-5.219999790E0
1.306382230E0	-3.305999756E1	-3.029999924E1	-5.339999676E0
1.314434653E0	-3.257999802E1	-3.065999985E1	-5.759999752E0
1.322415615E0	-3.197999954E1	-3.167999840E1	-5.879999638E0
1.330518345E0	-3.071999931E1	-3.288000107E1	-5.879999638E0
1.338747923E0	-2.981999969E1	-3.395999908E1	-5.579999924E0
1.346850846E0	-2.850000000E1	-3.557999802E1	-5.460000038E0
1.354857692E0	-2.681999969E1	-3.659999847E1	-5.579999924E0
1.362803192E0	-2.495999908E1	-3.743999863E1	-6.000000000E0
1.370962345E0	-2.339999962E1	-3.857999802E1	-6.359999657E0
1.379137385E0	-2.189999962E1	-3.947999954E1	-6.299999714E0
1.387096307E0	-2.010000038E1	-4.031999969E1	-6.480000019E0
1.395323500E0	-1.860000038E1	-4.091999817E1	-6.779999733E0
1.403327500E0	-1.673999977E1	-4.170000076E1	-6.359999657E0
1.411415884E0	-1.475999928E1	-4.205999756E1	-6.179999828E0
1.419504500E0	-1.265999985E1	-4.229999924E1	-5.879999638E0
1.427592461E0	-1.103999996E1	-4.254000092E1	-6.000000000E0
1.435581653E0	-9.479999542E0	-4.254000092E1	-7.079999924E0
1.443686346E0	-8.699999809E0	-4.302000046E1	-7.739999771E0
1.451645076E0	-8.220000267E0	-4.313999939E1	-7.919999599E0
1.459822576E0	-7.859999657E0	-4.337999725E1	-7.739999771E0
1.467873691E0	-7.319999695E0	-4.343999863E1	-7.619999886E0
1.475943730E0	-6.299999714E0	-4.325999832E1	-8.039999962E0
1.483950845E0	-5.400000095E0	-4.368000031E1	-8.819999695E0
1.492163076E0	-4.019999981E0	-4.343999863E1	-8.699999809E0
1.500205961E0	-3.000000000E0	-4.337999725E1	-8.639999390E0
1.508212922E0	-2.220000029E0	-4.325999832E1	-8.099999428E0
1.516304845E0	-1.019999981E0	-4.307999802E1	-7.859999657E0
1.524267384E0	0.000000000E0	-4.355999756E1	-7.559999943E0
1.532363807E0	1.799999952E0	-4.361999893E1	-6.480000019E0
1.540618730E0	4.199999809E0	-4.325999832E1	-5.940000057E0
1.548661422E0	6.239999771E0	-4.254000092E1	-5.519999981E0
1.556670191E0	7.980000019E0	-4.211999893E1	-5.699999809E0
1.564820461E0	9.899999619E0	-4.139999771E1	-6.899999619E0
1.572742884E0	1.073999977E1	-4.109999847E1	-7.919999599E0
1.580950268E0	1.205999947E1	-4.055999756E1	-8.399999619E0
