"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.205697833E0,-3.102747803E0,2.364198624E1,3.875440979E-1
1.215655833E0,-4.772375793E0,2.774270874E1,-1.041564056E1
1.225614833E0,-1.251203110E1,3.714540573E1,-5.375321960E0
1.235573833E0,-2.772968582E1,4.588647858E1,6.312373352E0
1.245532833E0,-3.787259354E1,4.724595154E1,3.433260498E0
1.255491833E0,-3.365810760E1,4.368186310E1,-1.338965607E0
1.265450833E0,-2.051977890E1,3.887610672E1,2.140399017E0
1.275408833E0,-1.165521286E1,3.244458115E1,4.165238342E0
1.285367833E0,-1.212957642E1,2.166370010E1,2.907703400E0
1.295326833E0,-1.259211456E1,1.388078476E1,1.808090057E0
1.305285833E0,-8.009095001E0,1.236653366E1,8.384065247E-1
1.315244833E0,-4.150419159E0,1.081650696E1,-7.789801025E-1
1.325203833E0,-1.916464691E0,8.930429077E0,-2.186652832E0
1.335162833E0,-2.745291138E-1,6.254743195E0,-2.302811279E0
1.345120833E0,1.174607391E0,3.873794403E0,-1.862277374E0
1.355079833E0,2.456242218E0,2.198927307E0,-1.748214569E0
1.365038833E0,3.149450684E0,8.147557068E-1,-2.196382599E0
1.374997833E0,3.227887573E0,-2.221380615E-1,-2.667303314E0
1.384956833E0,2.928510132E0,-1.322948914E0,-1.962718506E0
1.394915833E0,2.355501709E0,-2.526296539E0,3.242257690E-1
1.404874833E0,1.335672455E0,-3.370540924E0,3.443139954E0
1.414832833E0,2.366578674E-1,-3.414998474E0,5.217999115E0
1.424791833E0,-1.577719116E-1,-3.216960297E0,4.588707733E0
1.434750833E0,3.802093506E-2,-3.504512329E0,3.370840302E0
1.444709833E0,3.378474426E-1,-4.080514526E0,1.702858887E0
1.454668833E0,6.331832886E-1,-4.568948822E0,-5.559439087E-1
1.464627833E0,1.006656647E0,-4.659809875E0,-2.117197266E0
1.474585833E0,1.325044556E0,-4.615052948E0,-3.040926361E0
1.484544833E0,1.641187134E0,-4.429139557E0,-3.500620422E0
1.494503833E0,1.825004883E0,-4.236490173E0,-3.259621582E0
1.504462833E0,1.709445190E0,-3.970942383E0,-2.366728363E0
1.514421833E0,1.465153198E0,-3.812122650E0,-1.299896851E0
1.524380833E0,1.235830078E0,-3.728746033E0,-2.713856506E-1
1.534339833E0,1.198557587E0,-3.150049438E0,8.539741516E-1
1.544297833E0,1.229094086E0,-1.439406738E0,1.987866211E0
1.554256833E0,1.024918671E0,5.722599792E-1,2.765499115E0
1.564215833E0,4.092489624E-1,2.736459503E0,3.368445282E0
1.574174458E0,-4.345463562E-1,4.548441467E0,4.503684540E0
1.584133458E0,-1.172960815E0,5.110372925E0,5.174589386E0
1.594092458E0,-1.519340515E0,5.496719513E0,3.858077087E0
1.604051458E0,-1.171463928E0,6.176455994E0,1.732946320E0
1.614010458E0,-1.475930786E0,6.074517975E0,-3.434008942E0
1.623968458E0,-5.528603210E0,7.436236267E0,-6.665039978E0
1.633927458E0,-1.549891983E1,1.720357498E1,-1.141391464E1
1.643886458E0,-2.241798157E1,4.247237823E1,-1.234048782E1
1.653845458E0,-1.704670120E1,7.345150681E1,-6.265371094E0
1.663804458E0,-1.723141708E1,9.432949081E1,-1.930236053E0
1.673763458E0,-2.056857742E1,7.473284225E1,1.821562042E0
1.683722458E0,-1.269584885E1,3.950509872E1,4.791236572E0
1.693680458E0,-6.947502594E0,2.113080826E1,3.959416351E0
1.703639458E0,-3.682492218E0,1.329520248E1,1.653611298E0
1.713598458E0,-8.930429077E-1,1.190414520E1,1.798060913E0
1.723557458E0,1.480421448E-1,1.055530014E1,7.626640320E-1
1.733516458E0,3.168910217E-1,8.620274048E0,-5.610333252E-1
1.743475458E0,2.296224976E-1,6.140381012E0,-1.185834045E0
1.753434458E0,1.673519897E-1,3.355572052E0,-9.515711975E-1
1.763392458E0,3.788621521E-1,8.375083923E-1,-5.044509888E-1
1.773351458E0,1.239572296E0,-1.026415558E0,-3.884422302E-1
1.783310458E0,1.581311646E0,-2.133663025E0,-3.695814514E-1
1.793269458E0,8.788224792E-1,-2.922223206E0,4.587959290E-1
1.803228458E0,-3.505709839E-1,-3.421884155E0,1.672322388E0
1.813187458E0,-1.542242889E0,-3.655398560E0,1.912123718E0
1.823146458E0,-2.409239960E0,-4.147874451E0,1.557361450E0
1.833105458E0,-2.793191528E0,-4.850363617E0,1.150806885E0
1.843063458E0,-3.021466827E0,-5.572012939E0,8.235873413E-1
1.853022458E0,-2.945574646E0,-6.137237549E0,6.087840271E-1
1.862981458E0,-2.439028015E0,-6.282435608E0,5.655239868E-1
1.872940458E0,-1.540446625E0,-6.026617584E0,4.683760071E-1
1.882899458E0,-5.978567505E-1,-5.583389282E0,-2.754272461E-2
1.892858458E0,9.969268799E-2,-4.974754944E0,-7.813751221E-1
1.902817458E0,5.957611084E-1,-4.088448029E0,-1.677860870E0
1.912776458E0,7.764353943E-1,-2.937491455E0,-2.397564240E0
1.922734458E0,8.099656677E-1,-2.079026642E0,-2.426903229E0
1.932693458E0,7.532336426E-1,-1.545985107E0,-2.153421936E0
1.942652458E0,3.610491943E-1,-1.331181793E0,-1.809287567E0
1.952611458E0,-4.882846069E-1,-1.345402222E0,-1.536554718E0
1.962570458E0,-1.992955627E0,-1.225800934E0,-3.198249207E0
1.972529458E0,-3.176544342E0,-1.073417816E0,-5.475912781E0
1.982488458E0,-2.336790619E0,-7.176077271E-1,-3.886368256E0
1.992447458E0,-1.043330383E0,3.953279114E-1,2.538720703E-1
2.002406458E0,-2.114353180E0,3.349734192E0,1.041683807E1
2.012364458E0,-7.229216766E0,1.241218872E1,2.314936066E1
2.022323458E0,-4.537514191E0,1.594469284E1,-2.780767365E0
2.032282458E0,-3.228785706E0,1.813868042E1,-1.947195786E1
2.042241458E0,-6.508764954E0,3.304348572E1,-9.738748169E0
2.052200458E0,-1.275796967E1,6.370647171E1,9.062454529E0
2.062159458E0,-1.299896851E1,8.838355545E1,6.561305695E0
2.072118458E0,-1.045725403E0,8.468714218E1,-2.824626160E0
2.082077458E0,2.380050659E0,4.769471832E1,3.245700531E0
2.092035458E0,-2.808759155E0,2.896297119E1,1.857786713E0
2.101994458E0,-2.690056000E0,2.314936066E1,1.575623474E0
2.111953458E0,-2.961142273E0,1.787882080E1,1.494342499E0
2.121912458E0,-2.942431183E0,1.388527542E1,4.435276794E-1
2.131871458E0,-3.485202484E0,1.047656387E1,-1.013991394E0
2.141830458E0,-3.992796936E0,7.278614044E0,-1.820963287E0
2.151789458E0,-4.194727020E0,4.523144073E0,-1.562750244E0
2.161748458E0,-4.343667297E0,2.202220459E0,-6.343807983E-1
2.171707458E0,-4.036356354E0,1.151106262E-1,7.259902954E-2
2.181666458E0,-3.581452332E0,-1.507515106E0,-3.574566650E-1
2.191625458E0,-3.209326172E0,-2.638263702E0,-9.331594849E-1
2.201583458E0,-2.756517792E0,-3.461401978E0,-6.384223938E-1
2.211542458E0,-2.904559937E0,-4.320764923E0,1.483415222E-1
2.221501458E0,-3.532803497E0,-4.870272217E0,6.626719666E-1
2.231460458E0,-4.094585266E0,-4.994513855E0,1.195563812E0
2.241419458E0,-4.386627960E0,-5.629343719E0,1.746268616E0
2.251378458E0,-4.405937805E0,-6.465205536E0,1.980082397E0
2.261337458E0,-4.042194214E0,-7.227420502E0,1.867815857E0
2.271296458E0,-3.507805481E0,-7.683372345E0,1.889071655E0
2.281255458E0,-3.122357025E0,-7.550448761E0,1.847009125E0
2.291214458E0,-2.515968018E0,-6.885531464E0,1.400936737E0
2.301173458E0,-1.438358917E0,-5.550457764E0,1.004111938E0
2.311131458E0,-9.879455566E-3,-3.396736450E0,8.863069153E-1
2.321090458E0,1.241218872E0,-1.720971222E0,3.832031250E-1
2.331049458E0,2.221380615E0,-7.453001404E-1,-3.489244080E-1
2.341008458E0,2.820883942E0,-1.249900818E-1,-9.846524048E-1
2.350967458E0,2.809208221E0,2.878514099E-1,-1.797611847E0
2.360926458E0,2.709066467E0,5.893244934E-1,-2.650987244E0
2.370885458E0,2.664758606E0,8.517288208E-1,-3.123105469E0
2.380844458E0,2.776875458E0,1.338965607E0,-3.005599823E0
2.390803458E0,2.942431183E0,2.138752441E0,-2.476599884E0
2.400762458E0,3.452720032E0,3.718417511E0,-3.330574036E-1
2.410721458E0,3.877237244E0,5.642366638E0,2.807262268E0
2.420680458E0,3.672014008E0,8.193810883E0,7.943082275E0
2.430638458E0,3.825744324E0,1.179442337E1,9.594298553E0
2.440597458E0,2.560126190E0,1.448672470E1,1.686842194E0
2.450556458E0,-3.397933960E-1,1.819376587E1,-1.122485779E1
2.460515458E0,-4.094884644E0,3.183953934E1,-1.959215790E1
2.470474458E0,-1.315150131E1,5.397161545E1,-7.327412567E0
2.480433458E0,-2.334260880E1,7.457387283E1,1.043510010E1
2.490392458E0,-3.100652161E1,7.700811081E1,-7.655081177E-1
2.500351458E0,-3.429548218E1,5.079147858E1,1.869612122E-1
2.510310458E0,-1.678414719E1,2.663576065E1,2.087409210E0
2.520269458E0,-8.604407043E0,1.919233932E1,3.522175598E-1
2.530228458E0,-4.833598480E0,1.521675659E1,9.222322083E-1
2.540187458E0,-2.739602966E0,1.226833786E1,1.114133148E0
2.550146458E0,-1.164428558E0,1.012299911E1,-1.691482544E-2
2.560104458E0,5.043013000E-1,8.075407104E0,-1.524280243E0
2.570063458E0,2.120640106E0,5.758974152E0,-2.584076385E0
2.580022833E0,3.583098907E0,3.503464508E0,-2.204016724E0
2.589981833E0,4.655768280E0,1.869163055E0,-1.486408997E0
2.599940833E0,4.357438660E0,5.300477600E-1,-1.090781708E0
2.609899833E0,3.349584503E0,-8.749305725E-1,-5.649252319E-1
2.619858833E0,2.468516693E0,-2.506387939E0,1.014141083E0
2.629817833E0,1.513203278E0,-3.910168762E0,3.340004425E0
2.639776833E0,-3.463796997E-1,-3.751798096E0,4.148473206E0
2.649735833E0,-2.232756958E0,-2.894979858E0,2.972668304E0
2.659694833E0,-3.403771820E0,-2.685265961E0,1.776954803E0
2.669653833E0,-4.301604767E0,-3.101101227E0,1.085542603E0
2.679612833E0,-4.718787231E0,-3.776646423E0,8.196954346E-1
2.689571833E0,-4.270020447E0,-4.385280762E0,9.828561401E-1
2.699529833E0,-3.157533875E0,-4.478237457E0,1.194515991E0
2.709488833E0,-1.991458740E0,-4.255650330E0,1.262025604E0
2.719447833E0,-6.837780762E-1,-3.480711823E0,8.403524780E-1
2.729406833E0,3.254232788E-1,-2.723885651E0,-5.677693176E-1
2.739365833E0,6.557862854E-1,-2.428100739E0,-2.772534485E0
2.749324833E0,5.899232483E-1,-2.296973419E0,-4.958738251E0
2.759283833E0,5.562432861E-1,-2.335144043E0,-6.554719391E0
2.769242833E0,5.888754272E-1,-2.841540985E0,-6.905440063E0
2.779201833E0,7.695497131E-1,-3.196303253E0,-6.056854706E0
2.789160833E0,1.459764404E0,-3.326682129E0,-3.780538330E0
2.799119833E0,1.875150604E0,-3.847299500E0,-1.152303772E0
2.809078833E0,1.058299255E0,-4.210594025E0,-1.040037231E0
2.819037833E0,2.604583740E-1,-2.906505890E0,-1.072220306E0
2.828996833E0,6.795867920E-2,6.364764404E-1,6.939569092E-1
2.838955833E0,-4.494104462E0,8.601562958E0,1.686198532E1
2.848913833E0,-5.657335510E0,1.792402679E1,9.433083801E0
2.858872833E0,4.767585754E-1,1.979558487E1,-1.628792908E1
2.868831833E0,-2.456092529E0,3.178610046E1,-6.710096283E0
2.878790833E0,-9.187145233E0,5.816379776E1,1.203287750E1
2.888749833E0,-1.334400101E1,8.443791046E1,7.704927521E0
2.898708833E0,-1.353320755E1,9.154288559E1,-2.476450195E0
2.908667833E0,-8.119415588E0,5.749483887E1,2.422113190E0
2.918626833E0,-4.655019836E0,3.305171860E1,4.737498322E0
2.928585833E0,-4.880301361E0,2.506028687E1,3.940106506E0
2.938544833E0,-5.859415283E0,1.786489975E1,1.775607605E0
2.948503833E0,-5.987548828E0,1.288774979E1,-1.000818787E0
2.958462833E0,-5.648354187E0,9.673633575E0,-2.713856506E0
2.968421833E0,-5.003944244E0,7.228618011E0,-2.848276978E0
2.978380833E0,-4.017645264E0,5.102439423E0,-2.122436371E0
2.988339833E0,-3.109633484E0,2.810256042E0,-1.461111603E0
2.998297833E0,-2.047741699E0,6.123765564E-1,-7.595205688E-1
3.008256833E0,-1.222358093E0,-1.122366028E0,-6.259982300E-1
3.018215833E0,-4.840933228E-1,-2.991080017E0,-9.862989807E-1
3.028174833E0,2.859054565E-1,-4.151616669E0,-7.575746155E-1
3.038133833E0,4.936734009E-1,-4.209546204E0,-2.348616028E-1
3.048092833E0,2.484832764E-1,-3.759432220E0,9.894424438E-2
3.058051833E0,-2.594105530E-1,-3.168610840E0,4.128414917E-1
3.068010833E0,-7.921527100E-1,-3.046464844E0,6.304888916E-1
