"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.060915458E0,2.165313005E0,-2.717483640E-1,5.653098226E-1
2.070874458E0,8.103693724E-1,-1.030328646E-1,6.516753435E-1
2.080833458E0,-7.513498515E-2,3.386062980E-1,1.083311915E0
2.090792458E0,-3.233628869E-1,6.958536506E-1,1.390599728E0
2.100751458E0,-1.198942959E-1,6.545256972E-1,1.494960189E0
2.110710458E0,-1.345323622E-1,6.808198690E-1,1.588474989E0
2.120669458E0,-2.121221572E-1,7.579196095E-1,1.550962329E0
2.130628458E0,-2.307251394E-1,1.004009008E0,1.544635653E0
2.140587458E0,-1.206599921E-1,1.319427967E0,1.640267730E0
2.150545458E0,8.140895516E-2,1.500363708E0,1.900303006E0
2.160504458E0,3.401139677E-1,1.700996280E0,2.215420961E0
2.170463458E0,5.012906194E-1,1.870917439E0,2.468156815E0
2.180422458E0,4.692957997E-1,2.008846283E0,2.533907413E0
2.190381458E0,2.884993851E-1,2.066002846E0,2.328511000E0
2.200340458E0,-7.806266192E-3,2.186454535E0,1.828875184E0
2.210299458E0,-3.152706325E-1,2.415182829E0,1.124517560E0
2.220258458E0,-4.349824786E-1,2.463145256E0,2.988471091E-1
2.230217458E0,-2.106569856E-1,2.201328516E0,-4.981517792E-1
2.240176458E0,2.469854355E-1,1.722771525E0,-1.061570287E0
2.250135458E0,5.506520867E-1,1.241415024E0,-1.452334762E0
2.260093458E0,5.978745222E-1,8.408064842E-1,-1.690481424E0
2.270052458E0,5.114560127E-1,3.726901412E-1,-1.770787239E0
2.280011458E0,4.224271476E-1,-1.450812519E-1,-1.673038006E0
2.289970458E0,4.092445076E-1,-6.427093744E-1,-1.418684483E0
2.299929458E0,5.133059025E-1,-1.059161186E0,-1.071758032E0
2.309888458E0,6.843426824E-1,-1.297456861E0,-8.055201769E-1
2.319847458E0,8.322383761E-1,-1.348680615E0,-6.965955496E-1
2.329806458E0,9.421411753E-1,-1.291520953E0,-7.214742899E-1
2.339765458E0,9.989991784E-1,-1.193927050E0,-7.909448743E-1
2.349724458E0,9.898536205E-1,-1.076525569E0,-8.388344049E-1
2.359683458E0,9.011476636E-1,-1.012602091E0,-8.467289805E-1
2.369642458E0,7.364620566E-1,-9.625335932E-1,-8.238872886E-1
2.379600458E0,4.170970321E-1,-1.016026258E0,-7.702778578E-1
2.389559458E0,-5.584156513E-1,-1.370114803E0,-5.076472759E-1
2.399518458E0,-1.403499603E0,-1.141517282E0,-2.554707825E-1
2.409477458E0,-1.359671235E0,-2.019733377E-2,-2.987767160E-1
2.419436458E0,-4.280392826E-1,1.476748586E0,-5.687357783E-1
2.429395458E0,1.460399926E-1,2.454264402E0,-1.003833771E0
