"Time (s)","X (hPa)"
2.444613517E2,1.009970093E3
2.455358547E2,1.009970093E3
2.466103167E2,1.009971161E3
2.476847937E2,1.009971161E3
2.487592667E2,1.009972382E3
2.498337827E2,1.009973907E3
2.509082527E2,1.009975967E3
2.519827787E2,1.009977264E3
2.530572477E2,1.009981766E3
2.541317267E2,1.009984283E3
2.552062257E2,1.009988403E3
2.562807257E2,1.009996872E3
2.573551787E2,1.010002365E3
2.584296577E2,1.010004807E3
2.595041637E2,1.010009537E3
2.605786947E2,1.010009537E3
2.616531947E2,1.010003586E3
2.627276467E2,1.009998322E3
2.638021037E2,1.009995422E3
2.648765907E2,1.009994278E3
2.659510487E2,1.009994278E3
2.670255517E2,1.009994736E3
2.681000307E2,1.010000458E3
2.691745137E2,1.010002289E3
2.702490247E2,1.010003967E3
2.713235187E2,1.010005493E3
2.723979897E2,1.010005493E3
2.734724837E2,1.010005951E3
2.745469327E2,1.010007172E3
2.756213507E2,1.010007172E3
2.766958027E2,1.010007172E3
2.777702507E2,1.010009918E3
2.788447167E2,1.010010529E3
2.799191477E2,1.010010529E3
2.809936257E2,1.010010376E3
2.820681207E2,1.010010300E3
2.831426107E2,1.010010300E3
2.842171197E2,1.010010300E3
2.852916067E2,1.010008621E3
2.863660467E2,1.010008621E3
2.874404747E2,1.010007858E3
2.885149077E2,1.010006561E3
2.895893537E2,1.010005875E3
2.906638287E2,1.010005722E3
2.917383327E2,1.010002823E3
2.928128117E2,1.010000610E3
2.938872927E2,1.010000610E3
2.949617477E2,1.010000610E3
2.960362277E2,1.010000916E3
2.971106847E2,1.010000458E3
2.981851657E2,1.010000458E3
2.992596727E2,1.009997101E3
3.003341387E2,1.009996414E3
3.014086507E2,1.009994354E3
3.024831657E2,1.009993896E3
3.035576617E2,1.009993896E3
3.046321397E2,1.009994965E3
3.057066097E2,1.010003204E3
3.067810677E2,1.010017319E3
3.078555007E2,1.010019836E3
3.089299547E2,1.010023956E3
3.100044197E2,1.010031204E3
3.110788467E2,1.010043411E3
3.121532587E2,1.010049667E3
3.132277007E2,1.010058517E3
3.143021727E2,1.010062561E3
3.153766337E2,1.010073471E3
3.164510877E2,1.010073471E3
3.175255257E2,1.010059662E3
3.186000137E2,1.010056686E3
3.196744807E2,1.010044174E3
3.207489487E2,1.010038376E3
3.218233747E2,1.010025101E3
3.228978177E2,1.010014572E3
3.239723007E2,1.010012817E3
3.250467497E2,1.010012817E3
3.261211927E2,1.010014191E3
3.271956327E2,1.010016861E3
3.282701087E2,1.010019760E3
3.293445747E2,1.010020828E3
3.304190367E2,1.010020828E3
3.314935457E2,1.010021744E3
3.325680217E2,1.010021744E3
3.336424997E2,1.010033722E3
3.347169817E2,1.010033722E3
3.357914077E2,1.010033340E3
3.368658457E2,1.010028000E3
3.379402667E2,1.010010986E3
3.390147227E2,1.009985504E3
3.400891887E2,1.009983978E3
3.411636617E2,1.009978790E3
3.422381387E2,1.009972839E3
3.433126397E2,1.009969482E3
3.443871087E2,1.009967804E3
3.454616197E2,1.009967804E3
3.465361207E2,1.009967880E3
3.476106077E2,1.009969559E3
3.486851337E2,1.009971771E3
3.497596357E2,1.009974365E3
3.508341077E2,1.009976501E3
3.519085437E2,1.009979858E3
3.529829527E2,1.009983749E3
3.540573717E2,1.009988251E3
3.551318097E2,1.009989548E3
3.562062957E2,1.009992065E3
3.572807757E2,1.009994278E3
3.583552027E2,1.009995193E3
3.594296167E2,1.009995651E3
3.605041007E2,1.010000916E3
3.615785727E2,1.010002365E3
3.626530177E2,1.010009766E3
3.637274287E2,1.010011749E3
3.648018457E2,1.010014801E3
3.658762337E2,1.010016479E3
3.669506437E2,1.010021210E3
3.680250987E2,1.010021973E3
3.690996257E2,1.010023346E3
3.701741987E2,1.010026093E3
3.712487127E2,1.010026550E3
3.723231937E2,1.010026093E3
3.733976347E2,1.010027390E3
3.744721037E2,1.010025024E3
3.755465447E2,1.010025482E3
3.766209817E2,1.010025024E3
3.776954127E2,1.010025482E3
3.787698827E2,1.010023193E3
3.798443157E2,1.010024185E3
3.809187597E2,1.010023575E3
3.819931877E2,1.010023575E3
3.830676007E2,1.010022736E3
3.841419807E2,1.010019608E3
3.852163987E2,1.010017014E3
3.862908547E2,1.010016403E3
3.873653057E2,1.010016403E3
3.884397547E2,1.010017853E3
3.895141877E2,1.010020065E3
3.905886447E2,1.010021210E3
3.916631127E2,1.010021515E3
3.927376117E2,1.010021515E3
3.938120867E2,1.010020599E3
3.948866167E2,1.010017548E3
3.959611377E2,1.010009918E3
3.970356387E2,1.010002518E3
3.981101627E2,1.009999008E3
3.991846267E2,1.009995193E3
4.002590727E2,1.009994812E3
4.013335407E2,1.009994812E3
4.024080577E2,1.009996643E3
4.034825697E2,1.009996643E3
4.045571347E2,1.009997101E3
4.056316657E2,1.009999390E3
4.067062087E2,1.009999390E3
4.077807147E2,1.010000076E3
