"Time (s)"	"Magnetic field x (µT)"	"Magnetic field y (µT)"	"Magnetic field z (µT)"
1.281826531E0	-1.493999958E1	-3.275999832E1	-2.945999908E1
1.289916493E0	-1.469999981E1	-3.305999756E1	-2.976000023E1
1.298037493E0	-1.403999996E1	-3.336000061E1	-2.927999878E1
1.306164301E0	-1.415999985E1	-3.413999939E1	-2.873999977E1
1.314382301E0	-1.403999996E1	-3.420000076E1	-2.855999947E1
1.322502608E0	-1.385999966E1	-3.431999969E1	-2.789999962E1
1.330606608E0	-1.350000000E1	-3.450000000E1	-2.771999931E1
1.338729262E0	-1.301999950E1	-3.479999924E1	-2.771999931E1
1.346847147E0	-1.205999947E1	-3.515999985E1	-2.742000008E1
1.354931377E0	-1.157999992E1	-3.545999908E1	-2.819999886E1
1.363021570E0	-1.097999954E1	-3.563999939E1	-2.850000000E1
1.371111800E0	-1.055999947E1	-3.581999969E1	-2.861999893E1
1.379250454E0	-1.007999992E1	-3.605999756E1	-2.934000015E1
1.387359146E0	-8.699999809E0	-3.618000031E1	-2.957999992E1
1.395571762E0	-7.799999714E0	-3.618000031E1	-2.993999863E1
1.403664223E0	-6.299999714E0	-3.588000107E1	-3.095999908E1
1.411752954E0	-5.519999981E0	-3.521999741E1	-3.119999886E1
1.419874877E0	-5.099999905E0	-3.491999817E1	-3.155999947E1
1.427998339E0	-4.079999924E0	-3.425999832E1	-3.263999939E1
1.436132685E0	-3.899999857E0	-3.359999847E1	-3.293999863E1
1.444255992E0	-3.419999838E0	-3.354000092E1	-3.341999817E1
1.452360992E0	-2.819999933E0	-3.323999786E1	-3.384000015E1
1.460482492E0	-2.399999857E0	-3.288000107E1	-3.395999908E1
1.468600761E0	-1.919999957E0	-3.293999863E1	-3.420000076E1
1.476792608E0	-8.399999738E-1	-3.227999878E1	-3.497999954E1
1.484915031E0	1.799999923E-1	-3.155999947E1	-3.521999741E1
1.493005608E0	8.399999738E-1	-3.137999916E1	-3.545999908E1
1.501141723E0	2.099999905E0	-3.113999939E1	-3.563999939E1
1.509249107E0	3.000000000E0	-3.119999886E1	-3.588000107E1
1.517381184E0	3.899999857E0	-3.107999992E1	-3.593999863E1
1.525517838E0	5.579999924E0	-3.047999954E1	-3.707999802E1
1.533640338E0	6.960000038E0	-2.987999916E1	-3.755999756E1
1.541763646E0	8.639999390E0	-2.909999847E1	-3.720000076E1
1.549845223E0	9.899999619E0	-2.861999893E1	-3.797999954E1
1.558056684E0	1.121999931E1	-2.777999878E1	-3.750000000E1
1.566176569E0	1.200000000E1	-2.681999969E1	-3.755999756E1
1.574278992E0	1.284000015E1	-2.543999863E1	-3.857999802E1
1.582399261E0	1.338000011E1	-2.495999908E1	-3.863999939E1
1.590514684E0	1.319999981E1	-2.477999878E1	-3.875999832E1
1.598623646E0	1.271999931E1	-2.489999962E1	-3.900000000E1
1.606745299E0	1.188000011E1	-2.592000008E1	-3.870000076E1
1.614834953E0	1.043999958E1	-2.639999962E1	-3.852000046E1
1.622971645E0	9.479999542E0	-2.711999893E1	-3.857999802E1
1.631080876E0	9.000000000E0	-2.801999855E1	-3.834000015E1
1.639295453E0	7.980000019E0	-2.879999924E1	-3.821999741E1
1.647431492E0	7.739999771E0	-2.921999931E1	-3.821999741E1
1.655521338E0	7.980000019E0	-2.963999939E1	-3.786000061E1
1.663642222E0	8.159999847E0	-2.969999886E1	-3.786000061E1
1.671763030E0	9.059999466E0	-2.963999939E1	-3.731999969E1
1.679867838E0	9.960000038E0	-2.951999855E1	-3.671999741E1
1.687989876E0	1.031999969E1	-2.927999878E1	-3.695999908E1
1.696094068E0	1.067999935E1	-2.892000008E1	-3.731999969E1
1.704215068E0	1.103999996E1	-2.826000023E1	-3.755999756E1
1.712332030E0	1.163999939E1	-2.742000008E1	-3.809999847E1
1.720525222E0	1.200000000E1	-2.681999969E1	-3.797999954E1
1.728645260E0	1.235999966E1	-2.597999954E1	-3.791999817E1
1.736734491E0	1.223999977E1	-2.561999893E1	-3.834000015E1
1.744872068E0	1.211999989E1	-2.526000023E1	-3.900000000E1
1.752979530E0	1.146000004E1	-2.477999878E1	-3.936000061E1
1.761131337E0	1.121999931E1	-2.501999855E1	-3.995999908E1
1.769268876E0	1.092000008E1	-2.495999908E1	-3.959999847E1
1.777356953E0	1.055999947E1	-2.513999939E1	-3.900000000E1
1.785479068E0	1.092000008E1	-2.513999939E1	-3.911999893E1
1.793602606E0	1.097999954E1	-2.531999969E1	-3.900000000E1
1.801814068E0	1.092000008E1	-2.555999947E1	-3.905999756E1
1.809934760E0	1.109999943E1	-2.573999977E1	-3.881999969E1
1.818038068E0	1.151999950E1	-2.645999908E1	-3.804000092E1
1.826158375E0	1.146000004E1	-2.663999939E1	-3.755999756E1
1.834274568E0	1.163999939E1	-2.663999939E1	-3.750000000E1
1.842400606E0	1.151999950E1	-2.705999947E1	-3.791999817E1
1.850520298E0	1.067999935E1	-2.693999863E1	-3.779999924E1
1.858640106E0	1.001999950E1	-2.663999939E1	-3.731999969E1
1.866772760E0	9.300000191E0	-2.676000023E1	-3.707999802E1
1.874879414E0	8.460000038E0	-2.669999886E1	-3.647999954E1
1.883090414E0	7.919999599E0	-2.645999908E1	-3.665999985E1
1.891225337E0	7.619999886E0	-2.609999847E1	-3.671999741E1
1.899346644E0	7.259999752E0	-2.531999969E1	-3.689999771E1
1.907466106E0	7.019999981E0	-2.484000015E1	-3.738000107E1
1.915587721E0	6.299999714E0	-2.471999931E1	-3.768000031E1
1.923805106E0	5.879999638E0	-2.489999962E1	-3.779999924E1
1.931926875E0	5.639999866E0	-2.526000023E1	-3.797999954E1
1.940031144E0	5.699999809E0	-2.513999939E1	-3.863999939E1
1.948151375E0	5.699999809E0	-2.537999916E1	-3.887999725E1
1.956267529E0	5.879999638E0	-2.531999969E1	-3.923999786E1
1.964457952E0	5.699999809E0	-2.550000000E1	-3.911999893E1
1.972546106E0	5.519999981E0	-2.550000000E1	-3.905999756E1
1.980633144E0	5.279999733E0	-2.513999939E1	-3.900000000E1
1.988766298E0	4.980000019E0	-2.495999908E1	-3.900000000E1
1.996872990E0	4.859999657E0	-2.465999985E1	-3.887999725E1
2.005068913E0	4.859999657E0	-2.442000008E1	-3.815999985E1
2.013203067E0	4.920000076E0	-2.460000038E1	-3.804000092E1
2.021291182E0	4.679999828E0	-2.495999908E1	-3.773999786E1
2.029413529E0	4.079999924E0	-2.519999886E1	-3.786000061E1
