"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"
4.680817970E-1	6.605602264E0	3.270479441E0	7.747636795E0
4.692746920E-1	6.675034523E0	3.251325846E0	8.051700592E0
4.721363460E-1	6.715735912E0	3.217807055E0	8.324639320E0
4.740730770E-1	6.722918510E0	3.153163671E0	8.537723541E0
4.761601430E-1	6.720524311E0	3.069366693E0	8.676587105E0
4.774098460E-1	6.708553314E0	2.987963676E0	8.731653214E0
4.801864230E-1	6.694188118E0	2.896984100E0	8.707711220E0
4.820033850E-1	6.672640324E0	2.801215887E0	8.645462036E0
4.839580390E-1	6.617573261E0	2.729389906E0	8.573636055E0
4.854174620E-1	6.538564682E0	2.710236311E0	8.530540466E0
4.879755770E-1	6.423643112E0	2.729389906E0	8.504204750E0
4.901100770E-1	6.299144745E0	2.758120298E0	8.475474358E0
4.923338360E-1	6.191405773E0	2.777273893E0	8.441955566E0
4.936710000E-1	6.143521786E0	2.700659513E0	8.327033043E0
4.963271820E-1	6.184223175E0	2.564189911E0	8.118738174E0
4.981003080E-1	6.248866558E0	2.509123325E0	7.958326340E0
5.003210390E-1	6.260837555E0	2.463633537E0	7.807491779E0
5.016349230E-1	6.212953568E0	2.389413357E0	7.613561630E0
5.043938740E-1	6.141127586E0	2.327163935E0	7.388506413E0
5.061785000E-1	6.047753334E0	2.276885748E0	7.129932880E0
5.084224230E-1	5.956773758E0	2.217030764E0	6.830657482E0
5.096151920E-1	5.889736176E0	2.109291792E0	6.483498096E0
5.124805660E-1	5.849034786E0	1.965639591E0	6.121973515E0
5.144411540E-1	5.822698593E0	1.872265697E0	5.803544998E0
5.165163460E-1	5.789179802E0	1.845929503E0	5.585672379E0
5.177006150E-1	5.712565422E0	1.884236693E0	5.442020416E0
5.205766050E-1	5.604825974E0	1.977610588E0	5.358223438E0
5.224336540E-1	5.477933407E0	2.185906172E0	5.303156853E0
5.243219230E-1	5.506663799E0	2.308010340E0	5.288791656E0
5.258022690E-1	5.650316238E0	2.401384354E0	5.264849663E0
5.285713850E-1	5.870582581E0	2.473210335E0	5.243301868E0
5.304886150E-1	6.112396717E0	2.542642117E0	5.231330872E0
5.326780770E-1	6.351817131E0	2.616862535E0	5.255272865E0
5.340458850E-1	6.586448669E0	2.700659513E0	5.310339451E0
5.366996050E-1	6.835445881E0	2.784456491E0	5.415684223E0
5.384533460E-1	7.098807812E0	2.868253708E0	5.564124584E0
5.406656920E-1	7.314286232E0	2.961627483E0	5.753266811E0
5.418711920E-1	7.455543995E0	3.074155092E0	5.975927353E0
5.447502580E-1	7.503427982E0	3.189076662E0	6.220136166E0
5.465581540E-1	7.462726593E0	3.280056238E0	6.469132900E0
5.487917310E-1	7.378929615E0	3.339911461E0	6.691793919E0
5.499650000E-1	7.297526836E0	3.347094059E0	6.890512466E0
5.528504510E-1	7.216124058E0	3.303998232E0	7.077260017E0
5.547660770E-1	7.144298077E0	3.229778051E0	7.259219646E0
5.568570380E-1	7.086836815E0	3.114856482E0	7.429207802E0
5.580604230E-1	7.043741226E0	2.964021683E0	7.587224960E0
5.609462970E-1	7.026981831E0	2.808398485E0	7.757213593E0
5.627668080E-1	7.050923824E0	2.643198729E0	7.927201748E0
5.647105770E-1	7.108384609E0	2.461239338E0	8.078036308E0
5.661702690E-1	7.175422668E0	2.279279947E0	8.192957878E0
5.687170380E-1	7.240066051E0	2.111685991E0	8.252813339E0
5.708835380E-1	7.283161640E0	1.987187386E0	8.264783859E0
5.730645770E-1	7.304709435E0	1.905784607E0	8.243236542E0
5.744231920E-1	7.311892033E0	1.855506301E0	8.200140953E0
5.770676150E-1	7.321468830E0	1.831564307E0	8.142680168E0
5.788772310E-1	7.350199223E0	1.819593310E0	8.054094315E0
5.810695770E-1	7.426813602E0	1.802833915E0	7.951143742E0
5.822670380E-1	7.548917770E0	1.790862918E0	7.819462776E0
5.851060770E-1	7.685387611E0	1.798045516E0	7.668628216E0
5.869441150E-1	7.817068577E0	1.824381709E0	7.477091789E0
5.891570660E-1	7.922413349E0	1.869871497E0	7.266402245E0
5.903235000E-1	7.984662533E0	1.934514999E0	7.084442616E0
5.932098080E-1	7.996633530E0	2.042253971E0	6.979097843E0
5.951436540E-1	7.963114738E0	2.188300371E0	6.938396454E0
5.972653850E-1	7.941566944E0	2.343923569E0	6.890512466E0
5.984384620E-1	7.948749542E0	2.487575531E0	6.813898087E0
6.012835770E-1	7.975085735E0	2.609679937E0	6.715735912E0
6.031421920E-1	8.025363922E0	2.717418909E0	6.579266071E0
6.050870770E-1	8.075642586E0	2.806004286E0	6.428431511E0
6.065509620E-1	8.056488991E0	2.889801502E0	6.306327343E0
6.094060660E-1	7.955932140E0	2.983175278E0	6.222530365E0
6.112158460E-1	7.869740963E0	3.052607059E0	6.121973515E0
6.134304620E-1	7.800309181E0	3.066972494E0	5.990292549E0
6.147591540E-1	7.682993412E0	3.038241863E0	5.877765179E0
6.174192690E-1	7.532158375E0	2.971204281E0	5.789179802E0
6.192416920E-1	7.383718014E0	2.875436306E0	5.736507416E0
6.214109610E-1	7.283161640E0	2.743755102E0	5.691017628E0
6.226380380E-1	7.316680431E0	2.557007313E0	5.616796970E0
6.254686920E-1	7.496245384E0	2.346317768E0	5.554547787E0
6.273650000E-1	7.740454197E0	2.123656988E0	5.576095581E0
6.295262970E-1	7.936778545E0	1.944091797E0	5.662287235E0
6.307246150E-1	8.018181801E0	1.833958507E0	5.772420406E0
6.335596150E-1	8.008605003E0	1.800439715E0	5.923254967E0
6.356108350E-1	7.900865555E0	1.826775908E0	6.239289761E0
6.376215270E-1	7.812280178E0	1.853112102E0	6.476315498E0
6.388432690E-1	7.735665798E0	1.872265697E0	6.706159115E0
6.416780270E-1	7.709329605E0	1.857900500E0	6.907271862E0
6.436391920E-1	7.788338184E0	1.800439715E0	7.012616634E0
6.455544610E-1	7.888894558E0	1.740584612E0	7.065289021E0
6.469492310E-1	7.970297337E0	1.699883223E0	7.137115479E0
6.495655000E-1	8.082824707E0	1.644816518E0	7.196970463E0
6.516123080E-1	8.267178535E0	1.544260144E0	7.175422668E0
6.538091430E-1	8.429984093E0	1.441309452E0	7.139509678E0
6.552309230E-1	8.499416351E0	1.376665950E0	7.156269073E0
6.578019500E-1	8.513781548E0	1.347935557E0	7.175422668E0
6.597956040E-1	8.554482460E0	1.321599364E0	7.187393665E0
6.617971040E-1	8.561665535E0	1.304839969E0	7.220912457E0
6.630902690E-1	8.540117264E0	1.300051570E0	7.249642849E0
6.658535660E-1	8.532935143E0	1.278503656E0	7.218518257E0
6.677463460E-1	8.523358345E0	1.256955862E0	7.129932880E0
6.698989890E-1	8.449137688E0	1.266532660E0	7.058106422E0
6.712128460E-1	8.315062523E0	1.321599364E0	7.019799232E0
6.739557960E-1	8.228871346E0	1.371877551E0	6.919242859E0
6.759836920E-1	8.216899872E0	1.403002143E0	6.701370716E0
6.779962960E-1	8.224082947E0	1.441309452E0	6.461950302E0
6.792016540E-1	8.231265068E0	1.493981838E0	6.272808552E0
6.820532960E-1	8.236053467E0	1.558625340E0	6.100425720E0
6.840822960E-1	8.281543732E0	1.616086125E0	5.894524574E0
6.858211920E-1	8.362946510E0	1.663970232E0	5.712565422E0
6.872909230E-1	8.403648376E0	1.723825216E0	5.628767967E0
6.901406420E-1	8.410830498E0	1.800439715E0	5.609614372E0
6.920018850E-1	8.425195694E0	1.872265697E0	5.583278179E0
6.941875660E-1	8.475474358E0	1.884236693E0	5.547365189E0
6.957049230E-1	8.511386871E0	1.884236693E0	5.576095581E0
6.981906420E-1	8.497021675E0	1.910573006E0	5.645527840E0
7.000718850E-1	8.671798706E0	2.118868589E0	5.767632008E0
7.021856040E-1	9.323021889E0	2.710236311E0	6.083666325E0
7.036950380E-1	9.732429504E0	2.987963676E0	6.057330132E0
7.062414890E-1	9.710882187E0	2.844311714E0	5.616796970E0
7.080795380E-1	9.567230225E0	2.636016130E0	5.195417881E0
7.102706040E-1	9.442731857E0	2.542642117E0	5.078101635E0
7.115451540E-1	9.327810287E0	2.504334927E0	5.178658485E0
7.143264120E-1	9.272743225E0	2.427720547E0	5.307945251E0
7.163547190E-1	9.277531624E0	2.310404539E0	5.386953831E0
7.183483730E-1	9.232041359E0	2.171540976E0	5.506663799E0
7.195643460E-1	9.083600998E0	2.039859772E0	5.698200226E0
7.224042190E-1	8.832210541E0	1.929726601E0	5.928043365E0
7.242398850E-1	8.549694061E0	1.829170108E0	6.155492783E0
7.262688460E-1	8.329427719E0	1.738190413E0	6.291962147E0
7.277165000E-1	8.238448143E0	1.642422318E0	6.363788128E0
7.302047690E-1	8.305485725E0	1.508347034E0	6.299144745E0
7.324072690E-1	8.480262756E0	1.319205165E0	6.009446144E0
7.345191810E-1	8.717288017E0	1.108515382E0	5.554547787E0
7.359213840E-1	8.935160637E0	9.265560508E-1	5.128379822E0
7.385129880E-1	8.939949036E0	8.379706144E-1	4.955997467E0
7.404165770E-1	8.738836288E0	8.523358107E-1	5.123591423E0
7.425220650E-1	8.408436775E0	9.935936928E-1	5.576095581E0
7.438174230E-1	8.037335396E0	1.285686255E0	6.253654957E0
7.465779500E-1	7.599195957E0	1.769315004E0	7.060500622E0
7.485491540E-1	7.462726593E0	1.836352706E0	7.084442616E0
7.506069110E-1	7.457938194E0	1.740584612E0	6.698976517E0
7.518590770E-1	7.517793179E0	1.630451322E0	6.234501362E0
