"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"
5.150999990E-1	1.261744261E0	1.561019540E0	9.684545517E0
5.175250460E-1	1.285686255E0	1.537077546E0	9.694122314E0
5.187236920E-1	1.307234168E0	1.513135433E0	9.682151794E0
5.215821230E-1	1.326387763E0	1.489193439E0	9.660603523E0
5.232698070E-1	1.357512355E0	1.467645645E0	9.600749016E0
5.256590080E-1	1.362300754E0	1.462857246E0	9.572018623E0
5.268888070E-1	1.359906554E0	1.441309452E0	9.516951561E0
5.297163160E-1	1.331176162E0	1.424550056E0	9.473855972E0
5.313153460E-1	1.280897856E0	1.403002143E0	9.442731857E0
5.336266150E-1	1.213860273E0	1.400607944E0	9.418789864E0
5.351844230E-1	1.096544385E0	1.414973259E0	9.414001465E0
5.379470850E-1	1.015141487E0	1.438915253E0	9.416395187E0
5.397943840E-1	9.313444495E-1	1.489193439E0	9.428366661E0
5.419816620E-1	8.571242094E-1	1.558625340E0	9.445125580E0
5.431656920E-1	7.948749661E-1	1.642422318E0	9.466673851E0
5.460387000E-1	7.350199223E-1	1.719036818E0	9.488221169E0
5.476161150E-1	6.607996821E-1	1.778891921E0	9.521739960E0
5.500752000E-1	5.913678408E-1	1.833958507E0	9.572018623E0
5.512585380E-1	5.219359994E-1	1.877054095E0	9.627084732E0
5.541323540E-1	4.357447028E-1	1.893813491E0	9.672574997E0
5.557549610E-1	3.471592367E-1	1.886630893E0	9.727641106E0
5.581861230E-1	2.585737705E-1	1.850717902E0	9.792284966E0
5.593744990E-1	1.604115069E-1	1.817199111E0	9.856928825E0
5.622432390E-1	6.943184882E-2	1.786074519E0	9.919178009E0
5.639512300E-1	-2.394201700E-3	1.752555609E0	9.976638794E0
5.662830460E-1	-6.464344263E-2	1.719036818E0	1.002691650E1
5.674929220E-1	-1.244984865E-1	1.697489023E0	1.007240677E1
5.703407390E-1	-1.771709323E-1	1.687912226E0	1.009874249E1
5.716636530E-1	-2.130839527E-1	1.680729628E0	1.011071396E1
5.744260380E-1	-2.442085743E-1	1.678335428E0	1.011310768E1
5.758208070E-1	-2.705447972E-1	1.692700624E0	1.010353088E1
5.785571230E-1	-2.825157940E-1	1.711854219E0	1.008437729E1
5.802058070E-1	-2.873041928E-1	1.733402014E0	1.005804157E1
5.826070080E-1	-2.968810201E-1	1.766920805E0	1.002931118E1
5.838359990E-1	-3.040636182E-1	1.795651317E0	9.998186111E0
