"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"
3.578559610E-1	5.295974255E0	-2.920926213E-1	9.030928612E0
3.602852780E-1	5.501875401E0	-4.788403511E-1	8.997409821E0
3.616899230E-1	5.588066578E0	-6.584054828E-1	8.949525833E0
3.643404320E-1	5.597643375E0	-8.379706144E-1	8.877699852E0
3.659603080E-1	5.583278179E0	-1.019929886E0	8.748413086E0
3.682743080E-1	5.576095581E0	-1.180341482E0	8.578424454E0
3.696507310E-1	5.607220173E0	-1.335964561E0	8.410830498E0
3.724705470E-1	5.698200226E0	-1.477222443E0	8.279149055E0
3.740971540E-1	5.820304394E0	-1.594538331E0	8.202534676E0
3.765201240E-1	5.906495571E0	-1.673547029E0	8.123526573E0
3.777497690E-1	5.954379559E0	-1.719036818E0	8.061277390E0
3.805750090E-1	5.997475147E0	-1.745373011E0	8.054094315E0
3.822051920E-1	6.110002518E0	-1.781286120E0	8.106766701E0
3.846358550E-1	6.157886982E0	-1.790862918E0	8.130708694E0
3.858617690E-1	6.251260757E0	-1.807622313E0	8.164227486E0
3.886912390E-1	6.301538944E0	-1.810016513E0	8.125920296E0
3.903044610E-1	6.390124321E0	-1.857900500E0	7.996633530E0
3.927679700E-1	6.440402508E0	-1.905784607E0	7.970297337E0
3.939890770E-1	6.548141479E0	-2.027888775E0	7.929595947E0
3.968235470E-1	6.643909931E0	-2.205059767E0	7.860164165E0
3.984205000E-1	6.672640324E0	-2.284068346E0	7.802703381E0
4.008540080E-1	6.761225700E0	-2.375048161E0	7.836222172E0
4.021121920E-1	6.859387875E0	-2.473210335E0	7.953537941E0
4.049098160E-1	6.847416878E0	-2.461239338E0	7.905653954E0
4.065124610E-1	6.785167694E0	-2.365471363E0	7.745242596E0
4.089001540E-1	6.689399719E0	-2.240972757E0	7.596801758E0
4.101934230E-1	6.564900875E0	-2.102109194E0	7.520187378E0
4.130248160E-1	6.459556103E0	-1.944091797E0	7.517793179E0
4.145283460E-1	6.385335922E0	-1.781286120E0	7.556100368E0
4.171418550E-1	6.347028732E0	-1.613691926E0	7.587224960E0
4.184094230E-1	6.356605530E0	-1.465251446E0	7.594407558E0
4.212315850E-1	6.368576527E0	-1.316810966E0	7.587224960E0
4.228338840E-1	6.332663536E0	-1.146822572E0	7.548917770E0
4.252919700E-1	6.275202751E0	-9.744400978E-1	7.529764175E0
4.265074230E-1	6.212953568E0	-8.140285611E-1	7.565677166E0
4.293467010E-1	6.150704384E0	-6.679822803E-1	7.661445618E0
4.309100380E-1	6.066906929E0	-4.955997467E-1	7.733271599E0
4.334092780E-1	5.975927353E0	-2.992752194E-1	7.745242596E0
4.346255770E-1	5.856217384E0	-1.388636976E-1	7.726089001E0
4.374648540E-1	5.746084213E0	-3.351882473E-2	7.702147007E0
4.394702690E-1	5.671864033E0	1.268926859E-1	7.680599213E0
4.414933930E-1	5.657498837E0	2.202665508E-1	7.647080421E0
4.427142310E-1	5.612008572E0	4.788403511E-1	7.546523571E0
4.455485080E-1	5.477933407E0	7.781155705E-1	7.419631004E0
4.473780000E-1	5.159504890E0	1.154005170E0	7.319074631E0
4.495320000E-1	5.018246651E0	1.276109457E0	7.266402245E0
4.508571150E-1	4.764461517E0	1.496376038E0	7.122750282E0
4.536671620E-1	4.568136692E0	1.675941229E0	6.938396454E0
4.552402310E-1	4.355052948E0	1.884236693E0	6.507440090E0
4.576990470E-1	4.340687752E0	1.915361404E0	6.366182327E0
4.589388840E-1	4.405331135E0	1.889025092E0	6.189011574E0
4.617555080E-1	4.572925091E0	1.802833915E0	6.169857979E0
4.633910770E-1	4.886565685E0	1.762132406E0	6.212953568E0
4.658331240E-1	5.250484467E0	1.956062794E0	6.227318764E0
4.670631150E-1	5.528211594E0	2.183511972E0	6.318298340E0
4.698896620E-1	5.420472622E0	2.279279947E0	6.222530365E0
4.714788080E-1	5.255272865E0	2.322375536E0	5.978321552E0
4.739522390E-1	5.295974255E0	2.391807556E0	5.916072369E0
4.753290770E-1	5.566518784E0	2.509123325E0	6.045359135E0
4.780089310E-1	5.944802761E0	2.645592928E0	6.200982571E0
4.796591540E-1	6.323086739E0	2.717418909E0	6.270414352E0
4.820390470E-1	6.624756336E0	2.717418909E0	6.251260757E0
4.834155000E-1	6.811503887E0	2.671929121E0	6.215347767E0
4.860947770E-1	6.871358871E0	2.571372509E0	6.196194172E0
4.879280000E-1	6.861782074E0	2.389413357E0	6.217741966E0
4.901125380E-1	6.873753071E0	2.142810583E0	6.375759125E0
4.914058840E-1	6.847416878E0	1.912967205E0	6.586448669E0
4.942283930E-1	6.804321289E0	1.812410712E0	6.658275127E0
4.956398840E-1	6.763619900E0	1.819593310E0	6.667851925E0
4.983440470E-1	6.682217121E0	1.903390408E0	6.651092529E0
4.996642690E-1	6.636727333E0	1.975216389E0	6.646304131E0
5.024350470E-1	6.627150536E0	2.018311977E0	6.679822922E0
5.040737310E-1	6.612784863E0	2.049436569E0	6.658275127E0
5.064970850E-1	6.574477673E0	2.075772762E0	6.538564682E0
5.077220770E-1	6.550535679E0	2.073378563E0	6.335057735E0
5.105536620E-1	6.596025467E0	2.073378563E0	6.086060524E0
5.121900000E-1	6.768408298E0	2.123656988E0	5.683835030E0
5.146303540E-1	6.825869083E0	2.147598982E0	5.576095581E0
5.158713840E-1	6.914454460E0	2.181117773E0	5.406107426E0
5.186871620E-1	6.959944248E0	2.212242365E0	5.257667065E0
5.204770000E-1	7.177816868E0	2.205059767E0	5.073313236E0
