"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"
1.404137274E0	-9.156259298E-1	-5.197649002E-1	-8.776390553E-1
1.412258812E0	-6.989766359E-1	-9.545736313E-1	-1.410060883E0
1.420359928E0	-3.271908760E-1	-1.317729950E0	-1.411925435E0
1.428477466E0	3.200459480E-1	-8.926677704E-1	-6.120618582E-1
1.436583504E0	1.017445326E0	-6.390447617E-1	-1.620957851E-1
1.444716389E0	1.777337313E0	-3.248052597E-1	-2.288484573E-1
1.452835351E0	2.149169922E0	8.829975128E-2	-4.816758633E-1
1.469022389E0	1.270176649E0	9.684038162E-1	-8.509097099E-1
1.477226274E0	7.240614891E-1	1.336316109E0	-6.562888622E-1
1.485345312E0	-6.463122368E-2	1.461252213E0	-8.351891637E-1
1.493478620E0	-7.198674679E-1	1.419497490E0	-1.015686870E0
1.501563350E0	-1.522660255E-1	1.736624718E0	-1.056913257E0
1.509681812E0	-7.353881598E-1	1.737230301E0	-8.813356757E-1
1.517778966E0	-1.315196514E0	1.325130463E0	-1.315409541E0
1.525897350E0	-1.420738578E0	2.218780518E-1	-1.569835186E0
1.542116543E0	-9.920989275E-1	-8.379306793E-1	-1.771769762E0
1.550233966E0	-9.834377766E-1	-1.037468910E0	-1.782323599E0
1.558425235E0	-1.004570127E0	-1.104497910E0	-1.217040300E0
1.566556889E0	-1.100362539E0	-7.832899094E-1	-3.540679812E-1
1.574640773E0	-6.395061016E-1	-4.081707001E-1	4.489169121E-1
1.582724196E0	-3.204648495E-1	-1.795845032E-1	1.062178612E0
1.590854081E0	-3.686878681E-1	-2.965278625E-1	9.011738300E-1
1.598961081E0	-4.678537846E-1	-3.950309753E-1	3.120267391E-1
1.607077312E0	-3.242297173E-1	-4.272670746E-1	-2.568808794E-1
1.615209235E0	-1.327381134E-1	-3.863630295E-1	-6.050456166E-1
1.623294658E0	-2.400374413E-2	-3.107271194E-1	-8.175356388E-1
1.631412773E0	6.962633133E-2	-2.062759399E-1	-8.901991248E-1
1.639619696E0	2.807369232E-1	-3.141136169E-1	-7.984730005E-1
1.647735658E0	-8.829188347E-2	-2.117500305E-1	-8.502219319E-1
1.655854273E0	7.001495361E-2	-1.242103577E-1	-6.055610776E-1
1.663955619E0	-2.320072651E-1	-1.161813736E-1	-3.178118467E-1
1.672072581E0	-2.381658554E-1	-2.657136917E-1	-2.227663994E-3
